cycle,event,phase,vector,group,index,addr,end
184,kernel_group,1,8,10,,,
184,intermediate_write,1,8,10,,,10
185,kernel_group,1,8,11,,,
185,intermediate_write,1,8,11,,,11
186,kernel_group,1,8,12,,,
186,intermediate_write,1,8,12,,,12
187,kernel_group,1,8,13,,,
187,intermediate_write,1,8,13,,,13
188,kernel_group,1,8,14,,,
188,intermediate_write,1,8,14,,,14
189,kernel_group,1,8,15,,,
189,intermediate_write,1,8,15,,,15
190,kernel_group,1,9,0,,,
190,intermediate_write,1,9,0,,,0
191,kernel_group,1,9,1,,,
191,intermediate_write,1,9,1,,,1
192,kernel_group,1,9,2,,,
192,intermediate_write,1,9,2,,,2
193,kernel_group,1,9,3,,,
193,intermediate_write,1,9,3,,,3
194,kernel_group,1,9,4,,,
194,intermediate_write,1,9,4,,,4
195,kernel_group,1,9,5,,,
195,intermediate_write,1,9,5,,,5
196,kernel_group,1,9,6,,,
196,intermediate_write,1,9,6,,,6
197,kernel_group,1,9,7,,,
197,intermediate_write,1,9,7,,,7
198,kernel_group,1,9,8,,,
198,stage_capture,1,11,15,11,,
198,intermediate_write,1,9,8,,,8
199,vector_start,1,11,,,,
199,kernel_group,1,9,9,,,
199,intermediate_write,1,9,9,,,9
200,kernel_group,1,9,10,,,
200,intermediate_write,1,9,10,,,10
201,kernel_group,1,9,11,,,
201,intermediate_write,1,9,11,,,11
202,kernel_group,1,9,12,,,
202,intermediate_write,1,9,12,,,12
203,kernel_group,1,9,13,,,
203,intermediate_write,1,9,13,,,13
204,kernel_group,1,9,14,,,
204,intermediate_write,1,9,14,,,14
205,kernel_group,1,9,15,,,
205,intermediate_write,1,9,15,,,15
206,kernel_group,1,10,0,,,
206,intermediate_write,1,10,0,,,0
207,kernel_group,1,10,1,,,
207,intermediate_write,1,10,1,,,1
208,kernel_group,1,10,2,,,
208,intermediate_write,1,10,2,,,2
209,kernel_group,1,10,3,,,
209,intermediate_write,1,10,3,,,3
210,kernel_group,1,10,4,,,
210,intermediate_write,1,10,4,,,4
211,kernel_group,1,10,5,,,
211,intermediate_write,1,10,5,,,5
212,kernel_group,1,10,6,,,
212,intermediate_write,1,10,6,,,6
213,kernel_group,1,10,7,,,
213,intermediate_write,1,10,7,,,7
214,kernel_group,1,10,8,,,
214,stage_capture,1,12,15,12,,
214,intermediate_write,1,10,8,,,8
215,vector_start,1,12,,,,
215,kernel_group,1,10,9,,,
215,intermediate_write,1,10,9,,,9
216,kernel_group,1,10,10,,,
216,intermediate_write,1,10,10,,,10
217,kernel_group,1,10,11,,,
217,intermediate_write,1,10,11,,,11
218,kernel_group,1,10,12,,,
218,intermediate_write,1,10,12,,,12
219,kernel_group,1,10,13,,,
219,intermediate_write,1,10,13,,,13
220,kernel_group,1,10,14,,,
220,intermediate_write,1,10,14,,,14
221,kernel_group,1,10,15,,,
221,intermediate_write,1,10,15,,,15
222,kernel_group,1,11,0,,,
222,intermediate_write,1,11,0,,,0
223,kernel_group,1,11,1,,,
223,intermediate_write,1,11,1,,,1
224,kernel_group,1,11,2,,,
224,intermediate_write,1,11,2,,,2
225,kernel_group,1,11,3,,,
225,intermediate_write,1,11,3,,,3
226,kernel_group,1,11,4,,,
226,intermediate_write,1,11,4,,,4
227,kernel_group,1,11,5,,,
227,intermediate_write,1,11,5,,,5
228,kernel_group,1,11,6,,,
228,intermediate_write,1,11,6,,,6
229,kernel_group,1,11,7,,,
229,intermediate_write,1,11,7,,,7
230,kernel_group,1,11,8,,,
230,stage_capture,1,13,15,13,,
230,intermediate_write,1,11,8,,,8
231,vector_start,1,13,,,,
231,kernel_group,1,11,9,,,
231,intermediate_write,1,11,9,,,9
232,kernel_group,1,11,10,,,
232,intermediate_write,1,11,10,,,10
233,kernel_group,1,11,11,,,
233,intermediate_write,1,11,11,,,11
234,kernel_group,1,11,12,,,
234,intermediate_write,1,11,12,,,12
235,kernel_group,1,11,13,,,
235,intermediate_write,1,11,13,,,13
236,kernel_group,1,11,14,,,
236,intermediate_write,1,11,14,,,14
237,kernel_group,1,11,15,,,
237,intermediate_write,1,11,15,,,15
238,kernel_group,1,12,0,,,
238,intermediate_write,1,12,0,,,0
239,kernel_group,1,12,1,,,
239,intermediate_write,1,12,1,,,1
240,kernel_group,1,12,2,,,
240,intermediate_write,1,12,2,,,2
241,kernel_group,1,12,3,,,
241,intermediate_write,1,12,3,,,3
242,kernel_group,1,12,4,,,
242,intermediate_write,1,12,4,,,4
243,kernel_group,1,12,5,,,
243,intermediate_write,1,12,5,,,5
244,kernel_group,1,12,6,,,
244,intermediate_write,1,12,6,,,6
245,kernel_group,1,12,7,,,
245,intermediate_write,1,12,7,,,7
246,kernel_group,1,12,8,,,
246,stage_capture,1,14,15,14,,
246,intermediate_write,1,12,8,,,8
247,vector_start,1,14,,,,
247,kernel_group,1,12,9,,,
247,intermediate_write,1,12,9,,,9
248,kernel_group,1,12,10,,,
248,intermediate_write,1,12,10,,,10
249,kernel_group,1,12,11,,,
249,intermediate_write,1,12,11,,,11
250,kernel_group,1,12,12,,,
250,intermediate_write,1,12,12,,,12
251,kernel_group,1,12,13,,,
251,intermediate_write,1,12,13,,,13
252,kernel_group,1,12,14,,,
252,intermediate_write,1,12,14,,,14
253,kernel_group,1,12,15,,,
253,intermediate_write,1,12,15,,,15
254,kernel_group,1,13,0,,,
254,intermediate_write,1,13,0,,,0
255,kernel_group,1,13,1,,,
255,intermediate_write,1,13,1,,,1
256,kernel_group,1,13,2,,,
256,intermediate_write,1,13,2,,,2
257,kernel_group,1,13,3,,,
257,intermediate_write,1,13,3,,,3
258,kernel_group,1,13,4,,,
258,intermediate_write,1,13,4,,,4
259,kernel_group,1,13,5,,,
259,intermediate_write,1,13,5,,,5
260,kernel_group,1,13,6,,,
260,intermediate_write,1,13,6,,,6
261,kernel_group,1,13,7,,,
261,intermediate_write,1,13,7,,,7
262,kernel_group,1,13,8,,,
262,stage_capture,1,15,15,15,,
262,intermediate_write,1,13,8,,,8
263,vector_start,1,15,,,,
263,kernel_group,1,13,9,,,
263,intermediate_write,1,13,9,,,9
264,kernel_group,1,13,10,,,
264,intermediate_write,1,13,10,,,10
265,kernel_group,1,13,11,,,
265,intermediate_write,1,13,11,,,11
266,kernel_group,1,13,12,,,
266,intermediate_write,1,13,12,,,12
267,kernel_group,1,13,13,,,
267,intermediate_write,1,13,13,,,13
268,kernel_group,1,13,14,,,
268,intermediate_write,1,13,14,,,14
269,kernel_group,1,13,15,,,
269,intermediate_write,1,13,15,,,15
270,kernel_group,1,14,0,,,
270,intermediate_write,1,14,0,,,0
271,kernel_group,1,14,1,,,
271,intermediate_write,1,14,1,,,1
272,kernel_group,1,14,2,,,
272,intermediate_write,1,14,2,,,2
273,kernel_group,1,14,3,,,
273,intermediate_write,1,14,3,,,3
274,kernel_group,1,14,4,,,
274,intermediate_write,1,14,4,,,4
275,kernel_group,1,14,5,,,
275,intermediate_write,1,14,5,,,5
276,kernel_group,1,14,6,,,
276,intermediate_write,1,14,6,,,6
277,kernel_group,1,14,7,,,
277,intermediate_write,1,14,7,,,7
278,kernel_group,1,14,8,,,
278,stage_capture,1,16,15,16,,
278,intermediate_write,1,14,8,,,8
279,vector_start,1,16,,,,
279,kernel_group,1,14,9,,,
279,intermediate_write,1,14,9,,,9
280,kernel_group,1,14,10,,,
280,intermediate_write,1,14,10,,,10
281,kernel_group,1,14,11,,,
281,intermediate_write,1,14,11,,,11
282,kernel_group,1,14,12,,,
282,intermediate_write,1,14,12,,,12
283,kernel_group,1,14,13,,,
283,intermediate_write,1,14,13,,,13
284,kernel_group,1,14,14,,,
284,intermediate_write,1,14,14,,,14
285,kernel_group,1,14,15,,,
285,intermediate_write,1,14,15,,,15
286,kernel_group,1,15,0,,,
286,intermediate_write,1,15,0,,,0
287,kernel_group,1,15,1,,,
287,intermediate_write,1,15,1,,,1
288,kernel_group,1,15,2,,,
288,intermediate_write,1,15,2,,,2
289,kernel_group,1,15,3,,,
289,intermediate_write,1,15,3,,,3
290,kernel_group,1,15,4,,,
290,intermediate_write,1,15,4,,,4
291,kernel_group,1,15,5,,,
291,intermediate_write,1,15,5,,,5
292,kernel_group,1,15,6,,,
292,intermediate_write,1,15,6,,,6
293,kernel_group,1,15,7,,,
293,intermediate_write,1,15,7,,,7
294,kernel_group,1,15,8,,,
294,stage_capture,1,17,15,17,,
294,intermediate_write,1,15,8,,,8
295,vector_start,1,17,,,,
295,kernel_group,1,15,9,,,
295,intermediate_write,1,15,9,,,9
296,kernel_group,1,15,10,,,
296,intermediate_write,1,15,10,,,10
297,kernel_group,1,15,11,,,
297,intermediate_write,1,15,11,,,11
298,kernel_group,1,15,12,,,
298,intermediate_write,1,15,12,,,12
299,kernel_group,1,15,13,,,
299,intermediate_write,1,15,13,,,13
300,kernel_group,1,15,14,,,
300,intermediate_write,1,15,14,,,14
301,kernel_group,1,15,15,,,
301,intermediate_write,1,15,15,,,15
302,kernel_group,1,16,0,,,
302,intermediate_write,1,16,0,,,0
303,kernel_group,1,16,1,,,
303,intermediate_write,1,16,1,,,1
304,kernel_group,1,16,2,,,
304,intermediate_write,1,16,2,,,2
305,kernel_group,1,16,3,,,
305,intermediate_write,1,16,3,,,3
306,kernel_group,1,16,4,,,
306,intermediate_write,1,16,4,,,4
307,kernel_group,1,16,5,,,
307,intermediate_write,1,16,5,,,5
308,kernel_group,1,16,6,,,
308,intermediate_write,1,16,6,,,6
309,kernel_group,1,16,7,,,
309,intermediate_write,1,16,7,,,7
310,kernel_group,1,16,8,,,
310,stage_capture,1,18,15,18,,
310,intermediate_write,1,16,8,,,8
311,vector_start,1,18,,,,
311,kernel_group,1,16,9,,,
311,intermediate_write,1,16,9,,,9
312,kernel_group,1,16,10,,,
312,intermediate_write,1,16,10,,,10
313,kernel_group,1,16,11,,,
313,intermediate_write,1,16,11,,,11
314,kernel_group,1,16,12,,,
314,intermediate_write,1,16,12,,,12
315,kernel_group,1,16,13,,,
315,intermediate_write,1,16,13,,,13
316,kernel_group,1,16,14,,,
316,intermediate_write,1,16,14,,,14
317,kernel_group,1,16,15,,,
317,intermediate_write,1,16,15,,,15
318,kernel_group,1,17,0,,,
318,intermediate_write,1,17,0,,,0
319,kernel_group,1,17,1,,,
319,intermediate_write,1,17,1,,,1
320,kernel_group,1,17,2,,,
320,intermediate_write,1,17,2,,,2
321,kernel_group,1,17,3,,,
321,intermediate_write,1,17,3,,,3
322,kernel_group,1,17,4,,,
322,intermediate_write,1,17,4,,,4
323,kernel_group,1,17,5,,,
323,intermediate_write,1,17,5,,,5
324,kernel_group,1,17,6,,,
324,intermediate_write,1,17,6,,,6
325,kernel_group,1,17,7,,,
325,intermediate_write,1,17,7,,,7
326,kernel_group,1,17,8,,,
326,stage_capture,1,19,15,19,,
326,intermediate_write,1,17,8,,,8
327,vector_start,1,19,,,,
327,kernel_group,1,17,9,,,
327,intermediate_write,1,17,9,,,9
328,kernel_group,1,17,10,,,
328,intermediate_write,1,17,10,,,10
329,kernel_group,1,17,11,,,
329,intermediate_write,1,17,11,,,11
330,kernel_group,1,17,12,,,
330,intermediate_write,1,17,12,,,12
331,kernel_group,1,17,13,,,
331,intermediate_write,1,17,13,,,13
332,kernel_group,1,17,14,,,
332,intermediate_write,1,17,14,,,14
333,kernel_group,1,17,15,,,
333,intermediate_write,1,17,15,,,15
334,kernel_group,1,18,0,,,
334,intermediate_write,1,18,0,,,0
335,kernel_group,1,18,1,,,
335,intermediate_write,1,18,1,,,1
336,kernel_group,1,18,2,,,
336,intermediate_write,1,18,2,,,2
337,kernel_group,1,18,3,,,
337,intermediate_write,1,18,3,,,3
338,kernel_group,1,18,4,,,
338,intermediate_write,1,18,4,,,4
339,kernel_group,1,18,5,,,
339,intermediate_write,1,18,5,,,5
340,kernel_group,1,18,6,,,
340,intermediate_write,1,18,6,,,6
341,kernel_group,1,18,7,,,
341,intermediate_write,1,18,7,,,7
342,kernel_group,1,18,8,,,
342,stage_capture,1,20,15,20,,
342,intermediate_write,1,18,8,,,8
343,vector_start,1,20,,,,
343,kernel_group,1,18,9,,,
343,intermediate_write,1,18,9,,,9
344,kernel_group,1,18,10,,,
344,intermediate_write,1,18,10,,,10
345,kernel_group,1,18,11,,,
345,intermediate_write,1,18,11,,,11
346,kernel_group,1,18,12,,,
346,intermediate_write,1,18,12,,,12
347,kernel_group,1,18,13,,,
347,intermediate_write,1,18,13,,,13
348,kernel_group,1,18,14,,,
348,intermediate_write,1,18,14,,,14
349,kernel_group,1,18,15,,,
349,intermediate_write,1,18,15,,,15
350,kernel_group,1,19,0,,,
350,intermediate_write,1,19,0,,,0
351,kernel_group,1,19,1,,,
351,intermediate_write,1,19,1,,,1
352,kernel_group,1,19,2,,,
352,intermediate_write,1,19,2,,,2
353,kernel_group,1,19,3,,,
353,intermediate_write,1,19,3,,,3
354,kernel_group,1,19,4,,,
354,intermediate_write,1,19,4,,,4
355,kernel_group,1,19,5,,,
355,intermediate_write,1,19,5,,,5
356,kernel_group,1,19,6,,,
356,intermediate_write,1,19,6,,,6
357,kernel_group,1,19,7,,,
357,intermediate_write,1,19,7,,,7
358,kernel_group,1,19,8,,,
358,stage_capture,1,21,15,21,,
358,intermediate_write,1,19,8,,,8
359,vector_start,1,21,,,,
359,kernel_group,1,19,9,,,
359,intermediate_write,1,19,9,,,9
360,kernel_group,1,19,10,,,
360,intermediate_write,1,19,10,,,10
361,kernel_group,1,19,11,,,
361,intermediate_write,1,19,11,,,11
362,kernel_group,1,19,12,,,
362,intermediate_write,1,19,12,,,12
363,kernel_group,1,19,13,,,
363,intermediate_write,1,19,13,,,13
364,kernel_group,1,19,14,,,
364,intermediate_write,1,19,14,,,14
365,kernel_group,1,19,15,,,
365,intermediate_write,1,19,15,,,15
366,kernel_group,1,20,0,,,
366,intermediate_write,1,20,0,,,0
367,kernel_group,1,20,1,,,
367,intermediate_write,1,20,1,,,1
368,kernel_group,1,20,2,,,
368,intermediate_write,1,20,2,,,2
369,kernel_group,1,20,3,,,
369,intermediate_write,1,20,3,,,3
370,kernel_group,1,20,4,,,
370,intermediate_write,1,20,4,,,4
371,kernel_group,1,20,5,,,
371,intermediate_write,1,20,5,,,5
372,kernel_group,1,20,6,,,
372,intermediate_write,1,20,6,,,6
373,kernel_group,1,20,7,,,
373,intermediate_write,1,20,7,,,7
374,kernel_group,1,20,8,,,
374,stage_capture,1,22,15,22,,
374,intermediate_write,1,20,8,,,8
375,vector_start,1,22,,,,
375,kernel_group,1,20,9,,,
375,intermediate_write,1,20,9,,,9
376,kernel_group,1,20,10,,,
376,intermediate_write,1,20,10,,,10
377,kernel_group,1,20,11,,,
377,intermediate_write,1,20,11,,,11
378,kernel_group,1,20,12,,,
378,intermediate_write,1,20,12,,,12
379,kernel_group,1,20,13,,,
379,intermediate_write,1,20,13,,,13
380,kernel_group,1,20,14,,,
380,intermediate_write,1,20,14,,,14
381,kernel_group,1,20,15,,,
381,intermediate_write,1,20,15,,,15
382,kernel_group,1,21,0,,,
382,intermediate_write,1,21,0,,,0
383,kernel_group,1,21,1,,,
383,intermediate_write,1,21,1,,,1
384,kernel_group,1,21,2,,,
384,intermediate_write,1,21,2,,,2
385,kernel_group,1,21,3,,,
385,intermediate_write,1,21,3,,,3
386,kernel_group,1,21,4,,,
386,intermediate_write,1,21,4,,,4
387,kernel_group,1,21,5,,,
387,intermediate_write,1,21,5,,,5
388,kernel_group,1,21,6,,,
388,intermediate_write,1,21,6,,,6
389,kernel_group,1,21,7,,,
389,intermediate_write,1,21,7,,,7
390,kernel_group,1,21,8,,,
390,stage_capture,1,23,15,23,,
390,intermediate_write,1,21,8,,,8
391,vector_start,1,23,,,,
391,kernel_group,1,21,9,,,
391,intermediate_write,1,21,9,,,9
392,kernel_group,1,21,10,,,
392,intermediate_write,1,21,10,,,10
393,kernel_group,1,21,11,,,
393,intermediate_write,1,21,11,,,11
394,kernel_group,1,21,12,,,
394,intermediate_write,1,21,12,,,12
395,kernel_group,1,21,13,,,
395,intermediate_write,1,21,13,,,13
396,kernel_group,1,21,14,,,
396,intermediate_write,1,21,14,,,14
397,kernel_group,1,21,15,,,
397,intermediate_write,1,21,15,,,15
398,kernel_group,1,22,0,,,
398,intermediate_write,1,22,0,,,0
399,kernel_group,1,22,1,,,
399,intermediate_write,1,22,1,,,1
400,kernel_group,1,22,2,,,
400,intermediate_write,1,22,2,,,2
401,kernel_group,1,22,3,,,
401,intermediate_write,1,22,3,,,3
402,kernel_group,1,22,4,,,
402,intermediate_write,1,22,4,,,4
403,kernel_group,1,22,5,,,
403,intermediate_write,1,22,5,,,5
404,kernel_group,1,22,6,,,
404,intermediate_write,1,22,6,,,6
405,kernel_group,1,22,7,,,
405,intermediate_write,1,22,7,,,7
406,kernel_group,1,22,8,,,
406,stage_capture,1,24,15,24,,
406,intermediate_write,1,22,8,,,8
407,vector_start,1,24,,,,
407,kernel_group,1,22,9,,,
407,intermediate_write,1,22,9,,,9
408,kernel_group,1,22,10,,,
408,intermediate_write,1,22,10,,,10
409,kernel_group,1,22,11,,,
409,intermediate_write,1,22,11,,,11
