cycle,event,phase,vector,group,index,addr,end
5,input_fire,0,,,,65,1
22,stage_capture,1,0,15,0,,
23,vector_start,1,0,,,,
38,stage_capture,1,1,15,1,,
39,vector_start,1,1,,,,
46,kernel_group,1,0,0,,,
46,intermediate_write,1,0,0,,,0
47,kernel_group,1,0,1,,,
47,intermediate_write,1,0,1,,,1
48,kernel_group,1,0,2,,,
48,intermediate_write,1,0,2,,,2
49,kernel_group,1,0,3,,,
49,intermediate_write,1,0,3,,,3
50,kernel_group,1,0,4,,,
50,intermediate_write,1,0,4,,,4
51,kernel_group,1,0,5,,,
51,intermediate_write,1,0,5,,,5
52,kernel_group,1,0,6,,,
52,intermediate_write,1,0,6,,,6
53,kernel_group,1,0,7,,,
53,intermediate_write,1,0,7,,,7
54,kernel_group,1,0,8,,,
54,stage_capture,1,2,15,2,,
54,intermediate_write,1,0,8,,,8
55,vector_start,1,2,,,,
55,kernel_group,1,0,9,,,
55,intermediate_write,1,0,9,,,9
56,kernel_group,1,0,10,,,
56,intermediate_write,1,0,10,,,10
57,kernel_group,1,0,11,,,
57,intermediate_write,1,0,11,,,11
58,kernel_group,1,0,12,,,
58,intermediate_write,1,0,12,,,12
59,kernel_group,1,0,13,,,
59,intermediate_write,1,0,13,,,13
60,kernel_group,1,0,14,,,
60,intermediate_write,1,0,14,,,14
61,kernel_group,1,0,15,,,
61,intermediate_write,1,0,15,,,15
62,kernel_group,1,1,0,,,
62,intermediate_write,1,1,0,,,0
63,kernel_group,1,1,1,,,
63,intermediate_write,1,1,1,,,1
64,kernel_group,1,1,2,,,
64,intermediate_write,1,1,2,,,2
65,kernel_group,1,1,3,,,
65,intermediate_write,1,1,3,,,3
66,kernel_group,1,1,4,,,
66,intermediate_write,1,1,4,,,4
67,kernel_group,1,1,5,,,
67,intermediate_write,1,1,5,,,5
68,kernel_group,1,1,6,,,
68,intermediate_write,1,1,6,,,6
69,kernel_group,1,1,7,,,
69,intermediate_write,1,1,7,,,7
70,kernel_group,1,1,8,,,
70,stage_capture,1,3,15,3,,
70,intermediate_write,1,1,8,,,8
71,vector_start,1,3,,,,
71,kernel_group,1,1,9,,,
71,intermediate_write,1,1,9,,,9
72,kernel_group,1,1,10,,,
72,intermediate_write,1,1,10,,,10
73,kernel_group,1,1,11,,,
73,intermediate_write,1,1,11,,,11
74,kernel_group,1,1,12,,,
74,intermediate_write,1,1,12,,,12
75,kernel_group,1,1,13,,,
75,intermediate_write,1,1,13,,,13
76,kernel_group,1,1,14,,,
76,intermediate_write,1,1,14,,,14
77,kernel_group,1,1,15,,,
77,intermediate_write,1,1,15,,,15
78,kernel_group,1,2,0,,,
78,intermediate_write,1,2,0,,,0
79,kernel_group,1,2,1,,,
79,intermediate_write,1,2,1,,,1
80,kernel_group,1,2,2,,,
80,intermediate_write,1,2,2,,,2
81,kernel_group,1,2,3,,,
81,intermediate_write,1,2,3,,,3
82,kernel_group,1,2,4,,,
82,intermediate_write,1,2,4,,,4
83,kernel_group,1,2,5,,,
83,intermediate_write,1,2,5,,,5
84,kernel_group,1,2,6,,,
84,intermediate_write,1,2,6,,,6
85,kernel_group,1,2,7,,,
85,intermediate_write,1,2,7,,,7
86,kernel_group,1,2,8,,,
86,stage_capture,1,4,15,4,,
86,intermediate_write,1,2,8,,,8
87,vector_start,1,4,,,,
87,kernel_group,1,2,9,,,
87,intermediate_write,1,2,9,,,9
88,kernel_group,1,2,10,,,
88,intermediate_write,1,2,10,,,10
89,kernel_group,1,2,11,,,
89,intermediate_write,1,2,11,,,11
90,kernel_group,1,2,12,,,
90,intermediate_write,1,2,12,,,12
91,kernel_group,1,2,13,,,
91,intermediate_write,1,2,13,,,13
92,kernel_group,1,2,14,,,
92,intermediate_write,1,2,14,,,14
93,kernel_group,1,2,15,,,
93,intermediate_write,1,2,15,,,15
94,kernel_group,1,3,0,,,
94,intermediate_write,1,3,0,,,0
95,kernel_group,1,3,1,,,
95,intermediate_write,1,3,1,,,1
96,kernel_group,1,3,2,,,
96,intermediate_write,1,3,2,,,2
97,kernel_group,1,3,3,,,
97,intermediate_write,1,3,3,,,3
98,kernel_group,1,3,4,,,
98,intermediate_write,1,3,4,,,4
99,kernel_group,1,3,5,,,
99,intermediate_write,1,3,5,,,5
100,kernel_group,1,3,6,,,
100,intermediate_write,1,3,6,,,6
101,kernel_group,1,3,7,,,
101,intermediate_write,1,3,7,,,7
102,kernel_group,1,3,8,,,
102,stage_capture,1,5,15,5,,
102,intermediate_write,1,3,8,,,8
103,vector_start,1,5,,,,
103,kernel_group,1,3,9,,,
103,intermediate_write,1,3,9,,,9
104,kernel_group,1,3,10,,,
104,intermediate_write,1,3,10,,,10
105,kernel_group,1,3,11,,,
105,intermediate_write,1,3,11,,,11
106,kernel_group,1,3,12,,,
106,intermediate_write,1,3,12,,,12
107,kernel_group,1,3,13,,,
107,intermediate_write,1,3,13,,,13
108,kernel_group,1,3,14,,,
108,intermediate_write,1,3,14,,,14
109,kernel_group,1,3,15,,,
109,intermediate_write,1,3,15,,,15
110,kernel_group,1,4,0,,,
110,intermediate_write,1,4,0,,,0
111,kernel_group,1,4,1,,,
111,intermediate_write,1,4,1,,,1
112,kernel_group,1,4,2,,,
112,intermediate_write,1,4,2,,,2
113,kernel_group,1,4,3,,,
113,intermediate_write,1,4,3,,,3
114,kernel_group,1,4,4,,,
114,intermediate_write,1,4,4,,,4
115,kernel_group,1,4,5,,,
115,intermediate_write,1,4,5,,,5
116,kernel_group,1,4,6,,,
116,intermediate_write,1,4,6,,,6
117,kernel_group,1,4,7,,,
117,intermediate_write,1,4,7,,,7
118,kernel_group,1,4,8,,,
118,stage_capture,1,6,15,6,,
118,intermediate_write,1,4,8,,,8
119,vector_start,1,6,,,,
119,kernel_group,1,4,9,,,
119,intermediate_write,1,4,9,,,9
120,kernel_group,1,4,10,,,
120,intermediate_write,1,4,10,,,10
121,kernel_group,1,4,11,,,
121,intermediate_write,1,4,11,,,11
122,kernel_group,1,4,12,,,
122,intermediate_write,1,4,12,,,12
123,kernel_group,1,4,13,,,
123,intermediate_write,1,4,13,,,13
124,kernel_group,1,4,14,,,
124,intermediate_write,1,4,14,,,14
125,kernel_group,1,4,15,,,
125,intermediate_write,1,4,15,,,15
126,kernel_group,1,5,0,,,
126,intermediate_write,1,5,0,,,0
127,kernel_group,1,5,1,,,
127,intermediate_write,1,5,1,,,1
128,kernel_group,1,5,2,,,
128,intermediate_write,1,5,2,,,2
129,kernel_group,1,5,3,,,
129,intermediate_write,1,5,3,,,3
130,kernel_group,1,5,4,,,
130,intermediate_write,1,5,4,,,4
131,kernel_group,1,5,5,,,
131,intermediate_write,1,5,5,,,5
132,kernel_group,1,5,6,,,
132,intermediate_write,1,5,6,,,6
133,kernel_group,1,5,7,,,
133,intermediate_write,1,5,7,,,7
134,kernel_group,1,5,8,,,
134,stage_capture,1,7,15,7,,
134,intermediate_write,1,5,8,,,8
135,vector_start,1,7,,,,
135,kernel_group,1,5,9,,,
135,intermediate_write,1,5,9,,,9
136,kernel_group,1,5,10,,,
136,intermediate_write,1,5,10,,,10
137,kernel_group,1,5,11,,,
137,intermediate_write,1,5,11,,,11
138,kernel_group,1,5,12,,,
138,intermediate_write,1,5,12,,,12
139,kernel_group,1,5,13,,,
139,intermediate_write,1,5,13,,,13
140,kernel_group,1,5,14,,,
140,intermediate_write,1,5,14,,,14
141,kernel_group,1,5,15,,,
141,intermediate_write,1,5,15,,,15
142,kernel_group,1,6,0,,,
142,intermediate_write,1,6,0,,,0
143,kernel_group,1,6,1,,,
143,intermediate_write,1,6,1,,,1
144,kernel_group,1,6,2,,,
144,intermediate_write,1,6,2,,,2
145,kernel_group,1,6,3,,,
145,intermediate_write,1,6,3,,,3
146,kernel_group,1,6,4,,,
146,intermediate_write,1,6,4,,,4
147,kernel_group,1,6,5,,,
147,intermediate_write,1,6,5,,,5
148,kernel_group,1,6,6,,,
148,intermediate_write,1,6,6,,,6
149,kernel_group,1,6,7,,,
149,intermediate_write,1,6,7,,,7
150,kernel_group,1,6,8,,,
150,stage_capture,1,8,15,8,,
150,intermediate_write,1,6,8,,,8
151,vector_start,1,8,,,,
151,kernel_group,1,6,9,,,
151,intermediate_write,1,6,9,,,9
152,kernel_group,1,6,10,,,
152,intermediate_write,1,6,10,,,10
153,kernel_group,1,6,11,,,
153,intermediate_write,1,6,11,,,11
154,kernel_group,1,6,12,,,
154,intermediate_write,1,6,12,,,12
155,kernel_group,1,6,13,,,
155,intermediate_write,1,6,13,,,13
156,kernel_group,1,6,14,,,
156,intermediate_write,1,6,14,,,14
157,kernel_group,1,6,15,,,
157,intermediate_write,1,6,15,,,15
158,kernel_group,1,7,0,,,
158,intermediate_write,1,7,0,,,0
159,kernel_group,1,7,1,,,
159,intermediate_write,1,7,1,,,1
160,kernel_group,1,7,2,,,
160,intermediate_write,1,7,2,,,2
161,kernel_group,1,7,3,,,
161,intermediate_write,1,7,3,,,3
162,kernel_group,1,7,4,,,
162,intermediate_write,1,7,4,,,4
163,kernel_group,1,7,5,,,
163,intermediate_write,1,7,5,,,5
164,kernel_group,1,7,6,,,
164,intermediate_write,1,7,6,,,6
165,kernel_group,1,7,7,,,
165,intermediate_write,1,7,7,,,7
166,kernel_group,1,7,8,,,
166,stage_capture,1,9,15,9,,
166,intermediate_write,1,7,8,,,8
167,vector_start,1,9,,,,
167,kernel_group,1,7,9,,,
167,intermediate_write,1,7,9,,,9
168,kernel_group,1,7,10,,,
168,intermediate_write,1,7,10,,,10
169,kernel_group,1,7,11,,,
169,intermediate_write,1,7,11,,,11
170,kernel_group,1,7,12,,,
170,intermediate_write,1,7,12,,,12
171,kernel_group,1,7,13,,,
171,intermediate_write,1,7,13,,,13
172,kernel_group,1,7,14,,,
172,intermediate_write,1,7,14,,,14
173,kernel_group,1,7,15,,,
173,intermediate_write,1,7,15,,,15
174,kernel_group,1,8,0,,,
174,intermediate_write,1,8,0,,,0
175,kernel_group,1,8,1,,,
175,intermediate_write,1,8,1,,,1
176,kernel_group,1,8,2,,,
176,intermediate_write,1,8,2,,,2
177,kernel_group,1,8,3,,,
177,intermediate_write,1,8,3,,,3
178,kernel_group,1,8,4,,,
178,intermediate_write,1,8,4,,,4
179,kernel_group,1,8,5,,,
179,intermediate_write,1,8,5,,,5
180,kernel_group,1,8,6,,,
180,intermediate_write,1,8,6,,,6
181,kernel_group,1,8,7,,,
181,intermediate_write,1,8,7,,,7
182,kernel_group,1,8,8,,,
182,stage_capture,1,10,15,10,,
182,intermediate_write,1,8,8,,,8
183,vector_start,1,10,,,,
183,kernel_group,1,8,9,,,
183,intermediate_write,1,8,9,,,9
