"bucket","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns","logic_levels_min","logic_levels_median","logic_levels_p90","logic_levels_max","logic_delay_median_ns","logic_delay_p90_ns","logic_delay_max_ns","routing_delay_median_ns","routing_delay_p90_ns","routing_delay_max_ns","routing_fraction_median","routing_fraction_p90","routing_fraction_max"
"DUT_INTERNAL","1777","-72.297000000","0.975747024","0.139000000","0.033000000","0.086000000","0.124000000","0","2.000000000","5.000000000","8","0.229000000","0.525000000","0.791","1.514000000","1.721000000","1.883","0.867021277","0.955568054","0.9597349643221204"
"DUT_TO_SINK_BOUNDARY","22","-1.576000000","0.021270278","0.130000000","0.084000000","0.116000000","0.130000000","5","5.000000000","5.000000000","5","0.466000000","0.533000000","0.58","1.424000000","1.500000000","1.555","0.750133476","0.813890396","0.8441910966340933"
"SOURCE_BOUNDARY_TO_DUT","9","-0.221000000","0.002982698","0.058000000","0.018000000","0.058000000","0.058000000","5","5.000000000","5.000000000","5","0.545000000","0.547000000","0.547","1.261000000","1.303000000","1.303","0.697893570","0.705086580","0.70508658008658"
