"endpoint","startpoint","slack","path_group","launch_clock","capture_clock","start_cell","start_ref","start_hierarchy","end_cell","end_ref","end_hierarchy","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","routing_fraction","start_loc","end_loc","start_clock_region","end_clock_region","raw_structural_signature","normalized_structural_signature","classification_bucket","source_family","endpoint_family","violation_magnitude_ns"
"sink_it_data_out_q_reg[29]/D","u_dut/output_index_reg[0]_replica/C","-0.049000000","clk","clk","clk","u_dut/output_index_reg[0]_replica","FDCE","u_dut/output_index_reg_replica","sink_it_data_out_q_reg[29]","FDCE","sink_it_data_out_q_reg","5","0.489000000","1.449000000","1.938000000","0.747678019","SLICE_X59Y133","SLICE_X64Y123","","","u_dut/output_index_reg[0]_replica|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[29]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica","harness/sink_boundary","0.049000000"
"sink_it_data_out_q_reg[30]/D","u_dut/output_index_reg[4]_replica_1/C","-0.031000000","clk","clk","clk","u_dut/output_index_reg[4]_replica_1","FDCE","u_dut/output_index_reg_replica_1","sink_it_data_out_q_reg[30]","FDCE","sink_it_data_out_q_reg","5","0.343000000","1.500000000","1.843000000","0.813890396","SLICE_X64Y122","SLICE_X68Y100","","","u_dut/output_index_reg[4]_replica_1|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[30]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_1","harness/sink_boundary","0.031000000"
"sink_it_data_out_q_reg[31]/D","u_dut/output_index_reg[4]_replica_1/C","-0.084000000","clk","clk","clk","u_dut/output_index_reg[4]_replica_1","FDCE","u_dut/output_index_reg_replica_1","sink_it_data_out_q_reg[31]","FDCE","sink_it_data_out_q_reg","5","0.349000000","1.545000000","1.894000000","0.815733897","SLICE_X64Y122","SLICE_X69Y101","","","u_dut/output_index_reg[4]_replica_1|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[31]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_1","harness/sink_boundary","0.084000000"
"sink_it_data_out_q_reg[32]/D","u_dut/output_index_reg[5]_replica_1/C","-0.047000000","clk","clk","clk","u_dut/output_index_reg[5]_replica_1","FDCE","u_dut/output_index_reg_replica_1","sink_it_data_out_q_reg[32]","FDCE","sink_it_data_out_q_reg","5","0.287000000","1.555000000","1.842000000","0.844191097","SLICE_X60Y122","SLICE_X65Y98","","","u_dut/output_index_reg[5]_replica_1|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[32]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_1","harness/sink_boundary","0.047000000"
"sink_it_data_out_q_reg[33]/D","u_dut/output_index_reg[5]_replica_1/C","-0.086000000","clk","clk","clk","u_dut/output_index_reg[5]_replica_1","FDCE","u_dut/output_index_reg_replica_1","sink_it_data_out_q_reg[33]","FDCE","sink_it_data_out_q_reg","5","0.388000000","1.477000000","1.865000000","0.791957105","SLICE_X60Y122","SLICE_X67Y91","","","u_dut/output_index_reg[5]_replica_1|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[33]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_1","harness/sink_boundary","0.086000000"
"sink_it_data_out_q_reg[34]/D","u_dut/output_index_reg[5]_replica_4/C","-0.122000000","clk","clk","clk","u_dut/output_index_reg[5]_replica_4","FDCE","u_dut/output_index_reg_replica_4","sink_it_data_out_q_reg[34]","FDCE","sink_it_data_out_q_reg","5","0.398000000","1.493000000","1.891000000","0.789529350","SLICE_X59Y120","SLICE_X68Y96","","","u_dut/output_index_reg[5]_replica_4|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[34]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_4","harness/sink_boundary","0.122000000"
"sink_it_data_out_q_reg[35]/D","u_dut/output_index_reg[0]_replica_1/C","-0.116000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_1","FDCE","u_dut/output_index_reg_replica_1","sink_it_data_out_q_reg[35]","FDCE","sink_it_data_out_q_reg","5","0.506000000","1.495000000","2.001000000","0.747126437","SLICE_X60Y107","SLICE_X68Y96","","","u_dut/output_index_reg[0]_replica_1|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[35]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_1","harness/sink_boundary","0.116000000"
"sink_it_data_out_q_reg[36]/D","u_dut/output_index_reg[5]_replica_4/C","-0.098000000","clk","clk","clk","u_dut/output_index_reg[5]_replica_4","FDCE","u_dut/output_index_reg_replica_4","sink_it_data_out_q_reg[36]","FDCE","sink_it_data_out_q_reg","5","0.396000000","1.471000000","1.867000000","0.787895019","SLICE_X59Y120","SLICE_X68Y96","","","u_dut/output_index_reg[5]_replica_4|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[36]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_4","harness/sink_boundary","0.098000000"
"sink_it_data_out_q_reg[37]/D","u_dut/output_index_reg[5]_replica_1/C","-0.088000000","clk","clk","clk","u_dut/output_index_reg[5]_replica_1","FDCE","u_dut/output_index_reg_replica_1","sink_it_data_out_q_reg[37]","FDCE","sink_it_data_out_q_reg","5","0.468000000","1.405000000","1.873000000","0.750133476","SLICE_X60Y122","SLICE_X66Y87","","","u_dut/output_index_reg[5]_replica_1|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[37]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_1","harness/sink_boundary","0.088000000"
"sink_it_data_out_q_reg[39]/D","u_dut/output_index_reg[0]_replica_1/C","-0.090000000","clk","clk","clk","u_dut/output_index_reg[0]_replica_1","FDCE","u_dut/output_index_reg_replica_1","sink_it_data_out_q_reg[39]","FDCE","sink_it_data_out_q_reg","5","0.505000000","1.473000000","1.978000000","0.744691608","SLICE_X60Y107","SLICE_X69Y88","","","u_dut/output_index_reg[0]_replica_1|FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE|sink_it_data_out_q_reg[39]","FDCE|INBUF>IBUFCTRL>BUFGCE>FDCE>RAMD64E>LUT6>MUXF7>MUXF8>LUT4|FDCE","DUT_TO_SINK_BOUNDARY","u_dut/output_index_reg_replica_1","harness/sink_boundary","0.090000000"
