"bucket","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns","logic_levels_min","logic_levels_median","logic_levels_p90","logic_levels_max","logic_delay_median_ns","logic_delay_p90_ns","logic_delay_max_ns","routing_delay_median_ns","routing_delay_p90_ns","routing_delay_max_ns","routing_fraction_median","routing_fraction_p90","routing_fraction_max"
"DUT_INTERNAL","972","-40.971000000","0.965704992","0.134000000","0.036000000","0.089000000","0.123000000","0","3.000000000","6.000000000","8","0.354000000","0.579000000","0.896","1.492000000","1.728000000","1.96","0.804604155","0.955752212","0.9617271835132484"
"DUT_TO_SINK_BOUNDARY","24","-1.227000000","0.028920945","0.116000000","0.043000000","0.099000000","0.116000000","5","5.000000000","5.000000000","5","0.494000000","0.539000000","0.559","1.468000000","1.572000000","1.591","0.748475610","0.800704580","0.8126934984520123"
"SOURCE_BOUNDARY_TO_DUT","10","-0.228000000","0.005374063","0.054000000","0.019000000","0.032000000","0.054000000","4","4.000000000","4.000000000","4","0.248000000","0.343000000","0.343","1.632000000","1.715000000","1.764","0.847826087","0.876712329","0.8767395626242545"
