"bucket","source_family","endpoint_family","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_rd_resp_valid_q_reg","1","-0.118000000","0.002781313","0.118000000","0.118000000","0.118000000","0.118000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_vector_q_reg","1","-0.040000000","0.000942818","0.040000000","0.040000000","0.040000000","0.040000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/kernel_vector_q_reg_rep__2","1","-0.040000000","0.000942818","0.040000000","0.040000000","0.040000000","0.040000000"
"DUT_INTERNAL","u_dut/kernel_vector_q_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","9","-0.680000000","0.016027907","0.134000000","0.069000000","0.134000000","0.134000000"
"DUT_INTERNAL","u_dut/lfnst_grid_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","3","-0.216000000","0.005091218","0.083000000","0.077000000","0.083000000","0.083000000"
"DUT_INTERNAL","u_dut/lfnst_grid_valid_reg","u_dut/u_unified_p4_kernel/ingress_data_q_reg","11","-0.992000000","0.023381888","0.131000000","0.093000000","0.111000000","0.131000000"
"DUT_INTERNAL","u_dut/lfnst_mem_req_q_reg","u_dut/rd_cmd_addr_q_reg","1","-0.043000000","0.001013529","0.043000000","0.043000000","0.043000000","0.043000000"
"DUT_INTERNAL","u_dut/lfnst_mem_resp_data_q_reg","u_dut/lfnst_grid_reg","8","-0.209000000","0.004926224","0.058000000","0.027000000","0.058000000","0.058000000"
"DUT_INTERNAL","u_dut/lfnst_mem_resp_grid_addr_q_reg","u_dut/lfnst_grid_reg","2","-0.035000000","0.000824966","0.027000000","0.008000000","0.027000000","0.027000000"
"DUT_INTERNAL","u_dut/lfnst_ntrs48_q_reg_rep__0","u_dut/lfnst_grid_reg","1","-0.013000000","0.000306416","0.013000000","0.013000000","0.013000000","0.013000000"
"DUT_INTERNAL","u_dut/lfnst_run_q_reg","u_dut/lfnst_grid_reg","7","-0.190000000","0.004478386","0.050000000","0.032000000","0.050000000","0.050000000"
"DUT_INTERNAL","u_dut/lfnst_run_q_reg","u_dut/lfnst_grid_valid_reg","1","-0.015000000","0.000353557","0.015000000","0.015000000","0.015000000","0.015000000"
"DUT_INTERNAL","u_dut/lfnst_tail_index_q_reg","u_dut/lfnst_mem_req_valid_q_reg","1","-0.106000000","0.002498468","0.106000000","0.106000000","0.106000000","0.106000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_1","u_dut/kernel_rd_raw_data_q_reg","3","-0.225000000","0.005303352","0.123000000","0.088000000","0.123000000","0.123000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_1","u_dut/lfnst_mem_resp_data_q_reg","2","-0.209000000","0.004926224","0.111000000","0.098000000","0.111000000","0.111000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_2","u_dut/kernel_rd_raw_data_q_reg","3","-0.211000000","0.004973365","0.090000000","0.062000000","0.090000000","0.090000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_4","u_dut/kernel_rd_raw_data_q_reg","2","-0.181000000","0.004266252","0.131000000","0.050000000","0.131000000","0.131000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_4","u_dut/lfnst_mem_resp_data_q_reg","2","-0.208000000","0.004902654","0.107000000","0.101000000","0.107000000","0.107000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_5","u_dut/kernel_rd_raw_data_q_reg","4","-0.228000000","0.005374063","0.079000000","0.047000000","0.079000000","0.079000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica_5","u_dut/lfnst_mem_resp_data_q_reg","2","-0.153000000","0.003606279","0.108000000","0.045000000","0.108000000","0.108000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica","u_dut/kernel_rd_raw_data_q_reg","3","-0.116000000","0.002734172","0.073000000","0.040000000","0.073000000","0.073000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg_replica","u_dut/lfnst_mem_resp_valid_q_reg","1","-0.026000000","0.000612832","0.026000000","0.026000000","0.026000000","0.026000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg","u_dut/kernel_rd_raw_data_q_reg","31","-2.161000000","0.050935747","0.121000000","0.073000000","0.106000000","0.121000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg","u_dut/lfnst_mem_resp_data_q_reg","8","-0.526000000","0.012398058","0.109000000","0.069000000","0.109000000","0.109000000"
"DUT_INTERNAL","u_dut/rd_cmd_addr_q_reg","u_dut/lfnst_mem_resp_valid_q_reg_rep__2","1","-0.072000000","0.001697073","0.072000000","0.072000000","0.072000000","0.072000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/kernel_ctx_active_size_q_reg","2","-0.104000000","0.002451327","0.071000000","0.033000000","0.071000000","0.071000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/kernel_ctx_output_size_q_reg","2","-0.104000000","0.002451327","0.089000000","0.015000000","0.089000000","0.089000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/kernel_ctx_output_size_q_reg_replica","1","-0.015000000","0.000353557","0.015000000","0.015000000","0.015000000","0.015000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/kernel_drain_group_q_reg","5","-0.530000000","0.012492340","0.106000000","0.106000000","0.106000000","0.106000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/kernel_feed_group_q_reg","5","-0.295000000","0.006953283","0.079000000","0.054000000","0.079000000","0.079000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/kernel_feed_group_q_reg_replica","1","-0.079000000","0.001862066","0.079000000","0.079000000","0.079000000","0.079000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/kernel_h_groups_left_q_reg","3","-0.141000000","0.003323434","0.068000000","0.041000000","0.068000000","0.068000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/kernel_stage_q_reg","1","-0.019000000","0.000447839","0.019000000","0.019000000","0.019000000","0.019000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/kernel_start_sent_q_reg","1","-0.065000000","0.001532079","0.065000000","0.065000000","0.065000000","0.065000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/lfnst_input_terms_q_reg","47","-1.014000000","0.023900438","0.064000000","0.021000000","0.039000000","0.064000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/output_index_reg_replica","1","-0.040000000","0.000942818","0.040000000","0.040000000","0.040000000","0.040000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/output_index_reg_replica_2","1","-0.012000000","0.000282845","0.012000000","0.012000000","0.012000000","0.012000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/output_index_reg_replica_3","1","-0.011000000","0.000259275","0.011000000","0.011000000","0.011000000","0.011000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/output_index_reg_replica_4","1","-0.013000000","0.000306416","0.013000000","0.013000000","0.013000000","0.013000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/output_index_reg_replica_5","1","-0.032000000","0.000754254","0.032000000","0.032000000","0.032000000","0.032000000"
"DUT_INTERNAL","u_dut/slot_state_reg","u_dut/output_index_reg_replica_6","1","-0.047000000","0.001107811","0.047000000","0.047000000","0.047000000","0.047000000"
"DUT_INTERNAL","u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_rep","u_dut/u_bounded_lfnst_engine/coeff_bundle_q_reg","1","-0.002000000","0.000047141","0.002000000","0.002000000","0.002000000","0.002000000"
"DUT_INTERNAL","u_dut/u_bounded_lfnst_engine/out_group_reg","u_dut/lfnst_grid_reg","5","-0.161000000","0.003794843","0.048000000","0.041000000","0.048000000","0.048000000"
"DUT_INTERNAL","u_dut/u_bounded_lfnst_engine/red1_valid_q_reg_replica","u_dut/u_bounded_lfnst_engine/reduce_l2_q_reg","4","-0.052000000","0.001225664","0.013000000","0.013000000","0.013000000","0.013000000"
"DUT_INTERNAL","u_dut/u_bounded_lfnst_engine/red4_valid_q_reg","u_dut/u_bounded_lfnst_engine/reduce_l5_q_reg","1","-0.017000000","0.000400698","0.017000000","0.017000000","0.017000000","0.017000000"
