index,slack,datapath_delay,logic_levels,startpoint,endpoint
5075,-0.123,2.103,6,bf_cycle_reg[2]/C,signal_reg_reg[27][13]/D
5076,-0.123,2.103,6,bf_cycle_reg[2]/C,signal_reg_reg[41][13]/D
5077,-0.123,2.103,6,bf_cycle_reg[2]/C,signal_reg_reg[41][15]/D
5078,-0.122,2.103,6,bf_cycle_reg[4]/C,signal_reg_reg[101][21]/D
5079,-0.122,2.103,6,bf_cycle_reg[4]/C,signal_reg_reg[105][21]/D
5080,-0.122,2.102,5,bf_cycle_reg[5]/C,signal_reg_reg[7][22]/D
5081,-0.122,2.103,1,r4a_issue_cycle_reg[0][0]_rep__1/C,sched_coeff_reg_reg[22][6]/D
5082,-0.122,2.102,5,bf_cycle_reg[2]/C,signal_reg_reg[108][6]/D
5083,-0.122,2.102,1,r4a_issue_cycle_reg[0][3]_rep__3/C,sched_coeff_reg_reg[96][0]/D
5084,-0.122,2.101,5,red_s1_data_reg[6][1]/C,dot_value_bank_reg[1][11][22]/D
5085,-0.121,2.101,7,operand_coeff_reg_reg[59][0]/C,lane_product_reg_reg[59][0]/D
5086,-0.121,2.101,5,red_s1_data_reg[8][2]/C,red_s2_data_reg[4][18]/D
5087,-0.121,2.102,3,red_s2_data_reg[15][4]/C,dot_value_bank_reg[1][31][11]/D
5088,-0.120,2.102,4,red_s0_data_reg[5][0]/C,dot_value_bank_reg[1][6][15]/D
5089,-0.120,2.100,4,bf_cycle_reg[5]/C,signal_reg_reg[12][2]/D
5090,-0.120,2.101,3,bf_cycle_reg[5]/C,signal_reg_reg[54][3]/D
5091,-0.120,2.102,5,red_s0_data_reg[5][0]/C,dot_value_bank_reg[1][4][22]/D
5092,-0.120,2.014,2,red_active_reg/C,red_s0_data_reg[39][20]/CE
5093,-0.120,2.014,2,red_active_reg/C,red_s0_data_reg[39][21]/CE
5094,-0.120,2.014,2,red_active_reg/C,red_s0_data_reg[39][22]/CE
5095,-0.120,2.014,2,red_active_reg/C,red_s0_data_reg[39][23]/CE
5096,-0.119,2.100,7,bf_cycle_reg[1]/C,signal_reg_reg[102][10]/D
5097,-0.119,2.099,1,r4a_issue_cycle_reg[0][3]_rep__3/C,sched_coeff_reg_reg[7][3]/D
5098,-0.118,2.099,7,bf_cycle_reg[1]/C,signal_reg_reg[106][10]/D
5099,-0.118,2.101,4,red_s0_data_reg[5][0]/C,dot_value_bank_reg[0][4][14]/D
5100,-0.118,2.101,5,red_s0_data_reg[5][0]/C,dot_value_bank_reg[0][6][20]/D
5101,-0.118,2.098,3,bf_cycle_reg[5]/C,signal_reg_reg[25][7]/D
5102,-0.118,2.098,5,red_s1_data_reg[6][1]/C,dot_value_bank_reg[0][9][19]/D
5103,-0.118,2.097,4,red_s1_data_reg[6][1]/C,dot_value_bank_reg[1][11][8]/D
5104,-0.118,2.098,1,sched_valid_reg_reg[0]_rep/C,operand_x_reg_reg[23][10]/D
5105,-0.117,2.097,5,bf_cycle_reg[0]/C,signal_reg_reg[89][6]/D
5106,-0.117,2.097,5,red_s1_data_reg[8][2]/C,dot_value_bank_reg[1][12][18]/D
5107,-0.117,2.098,5,bf_cycle_reg[2]/C,signal_reg_reg[18][3]/D
5108,-0.117,2.097,5,bf_cycle_reg[5]/C,signal_reg_reg[42][9]/D
5109,-0.117,2.098,1,r4a_issue_cycle_reg[0][1]_rep__1/C,sched_coeff_reg_reg[68][3]/D
5110,-0.117,2.096,5,bf_cycle_reg[0]/C,signal_reg_reg[44][4]/D
5111,-0.116,2.098,7,operand_x_reg_reg[46][2]/C,lane_product_reg_reg[46][3]/D
5112,-0.116,2.096,7,bf_cycle_reg[2]/C,signal_reg_reg[27][18]/D
5113,-0.116,2.097,5,bf_cycle_reg[2]/C,signal_reg_reg[46][3]/D
5114,-0.116,2.096,5,bf_cycle_reg[2]/C,signal_reg_reg[108][4]/D
5115,-0.116,2.013,1,capture_pending_reg/C,final10_mem_reg[0][41][2]/CE
5116,-0.116,2.013,1,capture_pending_reg/C,final10_mem_reg[0][41][3]/CE
5117,-0.116,2.013,1,capture_pending_reg/C,final10_mem_reg[0][41][4]/CE
5118,-0.116,2.013,1,capture_pending_reg/C,final10_mem_reg[0][41][5]/CE
5119,-0.116,2.012,2,red_cycle_reg[3]/C,dot_value_bank_reg[0][56][10]/CE
5120,-0.116,2.012,2,red_cycle_reg[3]/C,dot_value_bank_reg[0][56][16]/CE
5121,-0.116,2.012,2,red_cycle_reg[3]/C,dot_value_bank_reg[0][56][19]/CE
5122,-0.115,2.012,1,capture_pending_reg/C,final10_mem_reg[0][37][2]/CE
5123,-0.115,2.012,1,capture_pending_reg/C,final10_mem_reg[0][37][3]/CE
