19000,0,0,2,0
19000,0,1,2,0
19000,0,2,2,0
19000,0,3,2,0
21000,0,4,3,0
21000,0,5,3,0
21000,0,6,3,0
21000,0,7,3,0
23000,0,8,4,0
23000,0,9,4,0
23000,0,10,4,0
23000,0,11,4,0
23000,0,12,4,0
23000,0,13,4,0
23000,0,14,4,0
23000,0,15,4,0
27000,0,16,6,0
27000,0,17,6,0
27000,0,18,6,0
27000,0,19,6,0
27000,0,20,6,0
27000,0,21,6,0
27000,0,22,6,0
27000,0,23,6,0
29000,0,24,7,0
29000,0,25,7,0
29000,0,26,7,0
29000,0,27,7,0
29000,0,28,7,0
29000,0,29,7,0
29000,0,30,7,0
29000,0,31,7,0
33000,0,32,9,0
33000,0,33,9,0
33000,0,34,9,0
33000,0,35,9,0
35000,0,36,10,0
35000,0,37,10,0
35000,0,38,10,0
35000,0,39,10,0
37000,0,40,11,0
37000,0,41,11,0
37000,0,42,11,0
37000,0,43,11,0
39000,0,44,12,0
39000,0,45,12,0
39000,0,46,12,0
39000,0,47,12,0
41000,0,48,13,0
41000,0,49,13,0
41000,0,50,13,0
41000,0,51,13,0
43000,0,52,14,0
43000,0,53,14,0
43000,0,54,14,0
43000,0,55,14,0
45000,0,56,15,0
45000,0,57,15,0
45000,0,58,15,0
45000,0,59,15,0
47000,0,60,16,0
47000,0,61,16,0
47000,0,62,16,0
47000,0,63,16,0
51000,1,0,2,4194176
51000,1,1,2,3899273
51000,1,2,2,0
51000,1,3,2,-1540049
53000,1,4,3,7601944
53000,1,5,3,-2686894
53000,1,6,3,1769418
53000,1,7,3,-1507282
55000,1,8,4,15105587
55000,1,9,4,-5078885
55000,1,10,4,3178399
55000,1,11,4,-2391991
55000,1,12,4,1933253
55000,1,13,4,-1736651
55000,1,14,4,1540049
55000,1,15,4,-1408981
59000,1,16,6,30211174
59000,1,17,6,-10092236
59000,1,18,6,6160196
59000,1,19,6,-4456312
59000,1,20,6,3473302
59000,1,21,6,-2817962
59000,1,22,6,2555826
59000,1,23,6,-2359224
61000,1,24,7,2031554
61000,1,25,7,-1900486
61000,1,26,7,1703884
61000,1,27,7,-1638350
61000,1,28,7,1638350
61000,1,29,7,-1572816
61000,1,30,7,1507282
61000,1,31,7,-1507282
65000,1,32,9,60389581
65000,1,33,9,-20282773
65000,1,34,9,12091023
65000,1,35,9,-8683255
67000,1,36,10,6848303
67000,1,37,10,-5603157
67000,1,38,10,4620147
67000,1,39,10,-4161409
69000,1,40,11,3702671
69000,1,41,11,-3178399
69000,1,42,11,2981797
69000,1,43,11,-2785195
71000,1,44,12,2588593
71000,1,45,12,-2588593
71000,1,46,12,2195389
71000,1,47,12,-2064321
73000,1,48,13,1933253
73000,1,49,13,-1998787
73000,1,50,13,1802185
73000,1,51,13,-1736651
75000,1,52,14,1736651
75000,1,53,14,-1802185
75000,1,54,14,1605583
75000,1,55,14,-1802185
77000,1,56,15,1671117
77000,1,57,15,-1540049
77000,1,58,15,1540049
77000,1,59,15,-1540049
79000,1,60,16,1474515
79000,1,61,16,-1474515
79000,1,62,16,1474515
79000,1,63,16,-1540049
83000,2,0,2,-4194304
83000,2,1,2,-3899392
83000,2,2,2,0
83000,2,3,2,1540096
85000,2,4,3,-7602176
85000,2,5,3,2686976
85000,2,6,3,-1769472
85000,2,7,3,1507328
87000,2,8,4,-15106048
87000,2,9,4,5079040
87000,2,10,4,-3178496
87000,2,11,4,2392064
87000,2,12,4,-1933312
87000,2,13,4,1736704
87000,2,14,4,-1540096
87000,2,15,4,1409024
91000,2,16,6,-30212096
91000,2,17,6,10092544
91000,2,18,6,-6160384
91000,2,19,6,4456448
91000,2,20,6,-3473408
91000,2,21,6,2818048
91000,2,22,6,-2555904
91000,2,23,6,2359296
93000,2,24,7,-2031616
93000,2,25,7,1900544
93000,2,26,7,-1703936
93000,2,27,7,1638400
93000,2,28,7,-1638400
93000,2,29,7,1572864
93000,2,30,7,-1507328
93000,2,31,7,1507328
97000,2,32,9,-60391424
97000,2,33,9,20283392
97000,2,34,9,-12091392
97000,2,35,9,8683520
99000,2,36,10,-6848512
99000,2,37,10,5603328
99000,2,38,10,-4620288
99000,2,39,10,4161536
101000,2,40,11,-3702784
101000,2,41,11,3178496
101000,2,42,11,-2981888
101000,2,43,11,2785280
103000,2,44,12,-2588672
103000,2,45,12,2588672
103000,2,46,12,-2195456
103000,2,47,12,2064384
105000,2,48,13,-1933312
105000,2,49,13,1998848
105000,2,50,13,-1802240
105000,2,51,13,1736704
107000,2,52,14,-1736704
107000,2,53,14,1802240
107000,2,54,14,-1605632
107000,2,55,14,1802240
109000,2,56,15,-1671168
109000,2,57,15,1540096
109000,2,58,15,-1540096
109000,2,59,15,1540096
111000,2,60,16,-1474560
111000,2,61,16,1474560
111000,2,62,16,-1474560
111000,2,63,16,1540096
115000,3,0,2,4194176
115000,3,1,2,3899273
115000,3,2,2,0
115000,3,3,2,-1540049
117000,3,4,3,7601944
117000,3,5,3,-2686894
117000,3,6,3,1769418
117000,3,7,3,-1507282
119000,3,8,4,15105587
119000,3,9,4,-5078885
119000,3,10,4,3178399
119000,3,11,4,-2391991
119000,3,12,4,1933253
119000,3,13,4,-1736651
119000,3,14,4,1540049
119000,3,15,4,-1408981
123000,3,16,6,30211174
123000,3,17,6,-10092236
123000,3,18,6,6160196
123000,3,19,6,-4456312
123000,3,20,6,3473302
123000,3,21,6,-2817962
123000,3,22,6,2555826
123000,3,23,6,-2359224
125000,3,24,7,2031554
125000,3,25,7,-1900486
125000,3,26,7,1703884
125000,3,27,7,-1638350
125000,3,28,7,1638350
125000,3,29,7,-1572816
125000,3,30,7,1507282
125000,3,31,7,-1507282
129000,3,32,9,-60391424
129000,3,33,9,20283392
129000,3,34,9,-12091392
129000,3,35,9,8683520
131000,3,36,10,-6848512
131000,3,37,10,5603328
131000,3,38,10,-4620288
131000,3,39,10,4161536
133000,3,40,11,-3702784
133000,3,41,11,3178496
133000,3,42,11,-2981888
133000,3,43,11,2785280
135000,3,44,12,-2588672
135000,3,45,12,2588672
135000,3,46,12,-2195456
135000,3,47,12,2064384
137000,3,48,13,-1933312
137000,3,49,13,1998848
137000,3,50,13,-1802240
137000,3,51,13,1736704
139000,3,52,14,-1736704
139000,3,53,14,1802240
139000,3,54,14,-1605632
139000,3,55,14,1802240
141000,3,56,15,-1671168
141000,3,57,15,1540096
141000,3,58,15,-1540096
141000,3,59,15,1540096
143000,3,60,16,-1474560
143000,3,61,16,1474560
143000,3,62,16,-1474560
143000,3,63,16,1540096
147000,4,0,2,-4194304
147000,4,1,2,-3899392
147000,4,2,2,0
147000,4,3,2,1540096
149000,4,4,3,-7602176
149000,4,5,3,2686976
149000,4,6,3,-1769472
149000,4,7,3,1507328
151000,4,8,4,-15106048
151000,4,9,4,5079040
151000,4,10,4,-3178496
151000,4,11,4,2392064
151000,4,12,4,-1933312
151000,4,13,4,1736704
151000,4,14,4,-1540096
151000,4,15,4,1409024
155000,4,16,6,-30212096
155000,4,17,6,10092544
155000,4,18,6,-6160384
155000,4,19,6,4456448
155000,4,20,6,-3473408
155000,4,21,6,2818048
155000,4,22,6,-2555904
155000,4,23,6,2359296
157000,4,24,7,-2031616
157000,4,25,7,1900544
157000,4,26,7,-1703936
157000,4,27,7,1638400
157000,4,28,7,-1638400
157000,4,29,7,1572864
157000,4,30,7,-1507328
157000,4,31,7,1507328
161000,4,32,9,60389581
161000,4,33,9,-20282773
161000,4,34,9,12091023
161000,4,35,9,-8683255
163000,4,36,10,6848303
163000,4,37,10,-5603157
163000,4,38,10,4620147
163000,4,39,10,-4161409
165000,4,40,11,3702671
165000,4,41,11,-3178399
165000,4,42,11,2981797
165000,4,43,11,-2785195
167000,4,44,12,2588593
167000,4,45,12,-2588593
167000,4,46,12,2195389
167000,4,47,12,-2064321
169000,4,48,13,1933253
169000,4,49,13,-1998787
169000,4,50,13,1802185
169000,4,51,13,-1736651
171000,4,52,14,1736651
171000,4,53,14,-1802185
171000,4,54,14,1605583
171000,4,55,14,-1802185
173000,4,56,15,1671117
173000,4,57,15,-1540049
173000,4,58,15,1540049
173000,4,59,15,-1540049
175000,4,60,16,1474515
175000,4,61,16,-1474515
175000,4,62,16,1474515
175000,4,63,16,-1540049
179000,5,0,2,2097088
179000,5,1,2,0
179000,5,2,2,2097088
179000,5,3,2,0
181000,5,4,3,0
181000,5,5,3,0
181000,5,6,3,0
181000,5,7,3,0
183000,5,8,4,0
183000,5,9,4,0
183000,5,10,4,0
183000,5,11,4,0
183000,5,12,4,0
183000,5,13,4,0
183000,5,14,4,0
183000,5,15,4,0
187000,5,16,6,0
187000,5,17,6,0
187000,5,18,6,0
187000,5,19,6,0
187000,5,20,6,0
187000,5,21,6,0
187000,5,22,6,0
187000,5,23,6,0
189000,5,24,7,0
189000,5,25,7,0
189000,5,26,7,0
189000,5,27,7,0
189000,5,28,7,0
189000,5,29,7,0
189000,5,30,7,0
189000,5,31,7,0
193000,5,32,9,0
193000,5,33,9,0
193000,5,34,9,0
193000,5,35,9,0
195000,5,36,10,0
195000,5,37,10,0
195000,5,38,10,0
195000,5,39,10,0
197000,5,40,11,0
197000,5,41,11,0
197000,5,42,11,0
197000,5,43,11,0
199000,5,44,12,0
199000,5,45,12,0
199000,5,46,12,0
199000,5,47,12,0
201000,5,48,13,0
201000,5,49,13,0
201000,5,50,13,0
201000,5,51,13,0
203000,5,52,14,0
203000,5,53,14,0
203000,5,54,14,0
203000,5,55,14,0
205000,5,56,15,0
205000,5,57,15,0
205000,5,58,15,0
205000,5,59,15,0
207000,5,60,16,0
207000,5,61,16,0
207000,5,62,16,0
207000,5,63,16,0
211000,6,0,2,0
211000,6,1,2,0
211000,6,2,2,0
211000,6,3,2,0
213000,6,4,3,0
213000,6,5,3,0
213000,6,6,3,0
213000,6,7,3,0
215000,6,8,4,0
215000,6,9,4,0
215000,6,10,4,0
215000,6,11,4,0
215000,6,12,4,0
215000,6,13,4,0
215000,6,14,4,0
215000,6,15,4,0
219000,6,16,6,0
219000,6,17,6,0
219000,6,18,6,0
219000,6,19,6,0
219000,6,20,6,0
219000,6,21,6,0
219000,6,22,6,0
219000,6,23,6,0
221000,6,24,7,0
221000,6,25,7,0
221000,6,26,7,0
221000,6,27,7,0
221000,6,28,7,0
221000,6,29,7,0
221000,6,30,7,0
221000,6,31,7,0
225000,6,32,9,-65536
225000,6,33,9,229376
225000,6,34,9,-360448
225000,6,35,9,491520
227000,6,36,10,-655360
227000,6,37,10,786432
227000,6,38,10,-917504
227000,6,39,10,1081344
229000,6,40,11,-1212416
229000,6,41,11,1343488
229000,6,42,11,-1441792
229000,6,43,11,1572864
231000,6,44,12,-1703936
231000,6,45,12,1835008
231000,6,46,12,-1933312
231000,6,47,12,2031616
233000,6,48,13,-2129920
233000,6,49,13,2260992
233000,6,50,13,-2326528
233000,6,51,13,2392064
235000,6,52,14,-2523136
235000,6,53,14,2588672
235000,6,54,14,-2654208
235000,6,55,14,2719744
237000,6,56,15,-2752512
237000,6,57,15,2818048
237000,6,58,15,-2850816
237000,6,59,15,2883584
239000,6,60,16,-2949120
239000,6,61,16,2949120
239000,6,62,16,-2949120
239000,6,63,16,2981888
243000,7,0,2,2097088
243000,7,1,2,0
243000,7,2,2,2097088
243000,7,3,2,0
245000,7,4,3,0
245000,7,5,3,0
245000,7,6,3,0
245000,7,7,3,0
247000,7,8,4,0
247000,7,9,4,0
247000,7,10,4,0
247000,7,11,4,0
247000,7,12,4,0
247000,7,13,4,0
247000,7,14,4,0
247000,7,15,4,0
251000,7,16,6,0
251000,7,17,6,0
251000,7,18,6,0
251000,7,19,6,0
251000,7,20,6,0
251000,7,21,6,0
251000,7,22,6,0
251000,7,23,6,0
253000,7,24,7,0
253000,7,25,7,0
253000,7,26,7,0
253000,7,27,7,0
253000,7,28,7,0
253000,7,29,7,0
253000,7,30,7,0
253000,7,31,7,0
257000,7,32,9,-65536
257000,7,33,9,229376
257000,7,34,9,-360448
257000,7,35,9,491520
259000,7,36,10,-655360
259000,7,37,10,786432
259000,7,38,10,-917504
259000,7,39,10,1081344
261000,7,40,11,-1212416
261000,7,41,11,1343488
261000,7,42,11,-1441792
261000,7,43,11,1572864
263000,7,44,12,-1703936
263000,7,45,12,1835008
263000,7,46,12,-1933312
263000,7,47,12,2031616
265000,7,48,13,-2129920
265000,7,49,13,2260992
265000,7,50,13,-2326528
265000,7,51,13,2392064
267000,7,52,14,-2523136
267000,7,53,14,2588672
267000,7,54,14,-2654208
267000,7,55,14,2719744
269000,7,56,15,-2752512
269000,7,57,15,2818048
269000,7,58,15,-2850816
269000,7,59,15,2883584
271000,7,60,16,-2949120
271000,7,61,16,2949120
271000,7,62,16,-2949120
271000,7,63,16,2981888
275000,8,0,2,4194176
275000,8,1,2,2719661
275000,8,2,2,0
275000,8,3,2,1179612
277000,8,4,3,0
277000,8,5,3,0
277000,8,6,3,0
277000,8,7,3,0
279000,8,8,4,0
279000,8,9,4,0
279000,8,10,4,0
279000,8,11,4,0
279000,8,12,4,0
279000,8,13,4,0
279000,8,14,4,0
279000,8,15,4,0
