"bucket","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns","logic_levels_min","logic_levels_median","logic_levels_p90","logic_levels_max","logic_delay_median_ns","logic_delay_p90_ns","logic_delay_max_ns","routing_delay_median_ns","routing_delay_p90_ns","routing_delay_max_ns","routing_fraction_median","routing_fraction_p90","routing_fraction_max"
"DUT_INTERNAL","4492","-284.189000000","0.682629740","0.188000000","0.055000000","0.132000000","0.172000000","0","2.000000000","5.000000000","9","0.253000000","0.550000000","0.872","1.603000000","1.842000000","2.012","0.862561847","0.958817318","0.9622190339550454"
"DUT_TO_SINK_BOUNDARY","39","-4.692000000","0.011270312","0.179000000","0.127000000","0.166000000","0.179000000","1","5.000000000","5.000000000","5","0.432000000","0.522000000","0.559","1.587000000","1.700000000","1.743","0.786893447","0.849259070","0.9063962558502341"
"RESET_RELATED_SETUP","1513","-127.357000000","0.305914992","0.149000000","0.091000000","0.136000000","0.148000000","0","0.000000000","0.000000000","1","0.080000000","0.080000000","0.229","1.779000000","1.864000000","1.938","0.956919763","0.958847737","0.960356788899901"
"SOURCE_BOUNDARY_TO_DUT","3","-0.077000000","0.000184956","0.031000000","0.031000000","0.031000000","0.031000000","0","5.000000000","5.000000000","5","0.491000000","0.491000000","0.491","1.415000000","1.796000000","1.796","0.742392445","0.957866667","0.9578666666666666"
