"bucket","source_family","endpoint_family","endpoint_count","tns_ns","tns_share","worst_violation_ns","median_violation_ns","p90_violation_ns","p99_violation_ns"
"DUT_INTERNAL","u_dut/slot_last_input_addr_reg","u_dut/protocol_error_reg","1","-0.019000000","0.003185247","0.019000000","0.019000000","0.019000000","0.019000000"
"DUT_INTERNAL","u_dut/slot_state_reg_replica","u_dut/lfnst_grid_reg","94","-1.790000000","0.300083822","0.048000000","0.017000000","0.035000000","0.048000000"
"DUT_INTERNAL","u_dut/slot_state_reg_replica","u_dut/lfnst_input_terms_q_reg","5","-0.098000000","0.016429170","0.030000000","0.016000000","0.030000000","0.030000000"
"DUT_INTERNAL","u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_rep_rep__0","u_dut/u_bounded_lfnst_engine/coeff_bundle_q_reg","1","-0.005000000","0.000838223","0.005000000","0.005000000","0.005000000","0.005000000"
"DUT_INTERNAL","u_dut/u_bounded_lfnst_engine/out_group_reg","u_dut/lfnst_grid_reg","7","-0.151000000","0.025314334","0.026000000","0.024000000","0.026000000","0.026000000"
"DUT_INTERNAL","u_dut/u_bounded_lfnst_engine/out_valid_reg","u_dut/lfnst_grid_reg","1","-0.001000000","0.000167645","0.001000000","0.001000000","0.001000000","0.001000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_data_q_reg","u_dut/vwrite_cmd_data_q_reg","4","-0.114000000","0.019111484","0.038000000","0.022000000","0.038000000","0.038000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__0_replica_3","u_dut/vwrite_cmd_data_q_reg","2","-0.029000000","0.004861693","0.025000000","0.004000000","0.025000000","0.025000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__0","u_dut/vwrite_cmd_data_q_reg","4","-0.161000000","0.026990780","0.043000000","0.038000000","0.043000000","0.043000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__1","u_dut/vwrite_cmd_data_q_reg","5","-0.108000000","0.018105616","0.041000000","0.020000000","0.041000000","0.041000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__3","u_dut/vwrite_cmd_data_q_reg","1","-0.010000000","0.001676446","0.010000000","0.010000000","0.010000000","0.010000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__5_replica_1","u_dut/vwrite_cmd_data_q_reg","1","-0.006000000","0.001005868","0.006000000","0.006000000","0.006000000","0.006000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__6_replica_4","u_dut/vwrite_cmd_data_q_reg","3","-0.046000000","0.007711651","0.018000000","0.017000000","0.018000000","0.018000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__6","u_dut/result_cmd_data_q_reg","1","-0.007000000","0.001173512","0.007000000","0.007000000","0.007000000","0.007000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep__6","u_dut/vwrite_cmd_data_q_reg","2","-0.038000000","0.006370495","0.036000000","0.002000000","0.036000000","0.036000000"
"DUT_INTERNAL","u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_rep_replica_1","u_dut/vwrite_cmd_data_q_reg","2","-0.040000000","0.006705784","0.039000000","0.001000000","0.039000000","0.039000000"
