subset_id,moved_bit_count,bit_list,bit_list_sha256,assignment_rule
ALL_64,64,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63",A49D88051B2D2E5D1255D4F806A7569CDA9B33A650A908566197031349AD8DB4,all 64 ingress_data bits
DEST_X2Y1_MAJOR,22,"1,3,5,7,11,14,16,17,19,25,28,42,43,44,45,47,48,54,56,57,59,62",EC8295A18CFB3214990035A3C2A8A03B2248BEA56069D816345F1D2C0CC4741A,x2y1 failing-destination count > x3y1 count
DEST_X3Y1_MAJOR,20,"0,2,8,10,13,15,24,26,27,30,33,34,39,41,46,49,50,51,60,61",D8DF451BC1C4EF6032E28F4D3065B488CCF48FA9921667AB64B2E0E8D05D4049,x3y1 failing-destination count > x2y1 count
DEST_MIXED_OR_OTHER,22,"4,6,9,12,18,20,21,22,23,29,31,32,35,36,37,38,40,52,53,55,58,63",62A80A6BF2780309EBB7ACB65499DC33F9E420F49ABAF670FF853CD53D650A7D,tie/other destination-region split
FEATURE_BIN_0,16,"2,5,12,14,18,20,22,31,32,34,36,44,46,49,50,54",25AFEB422DB3BDBEF4DCE97A6D1274116E7B27A3B94E395D479DC22D3DE14FFD,lexicographic deterministic bin over frozen geometry features; no slack used for assignment
FEATURE_BIN_1,16,"0,1,3,8,9,13,16,21,28,30,33,38,43,48,53,61",863B9B0389C1B994C73ED0C57EC56A84FD6D317708E59D47B391DA86E44D3A8E,lexicographic deterministic bin over frozen geometry features; no slack used for assignment
FEATURE_BIN_2,16,"10,11,15,17,25,26,27,35,37,40,41,45,47,51,58,63",18F6AC63D50EACD2B5F6CC669CA58252595A0313B759D7A0EC563D4D8CFF4410,lexicographic deterministic bin over frozen geometry features; no slack used for assignment
FEATURE_BIN_3,16,"4,6,7,19,23,24,29,39,42,52,55,56,57,59,60,62",6D6B2605916DFCDD525A27838AC825D18C62B807369D6E6322040D77ED73CF54,lexicographic deterministic bin over frozen geometry features; no slack used for assignment

