index,slack,datapath_delay,logic_levels,startpoint,endpoint
486,-0.691,2.672,7,bf_cycle_reg[0]/C,signal_reg_reg[22][17]/D
487,-0.691,2.672,7,bf_cycle_reg[0]/C,signal_reg_reg[49][17]/D
488,-0.691,2.672,1,issue_active_reg_rep__0/C,sched_coeff_reg_reg[54][6]/D
489,-0.691,2.672,5,vector_buf_b_reg[32][9]/C,operand_x_reg_reg[26][9]/D
490,-0.691,2.672,2,sched_src_reg_reg[46][1]_rep__4/C,operand_x_reg_reg[72][12]/D
491,-0.691,2.672,7,operand_x_reg_reg[82][1]/C,lane_product_reg_reg[82][22]/D
492,-0.691,2.672,7,operand_x_reg_reg[74][0]/C,lane_product_reg_reg[74][7]/D
493,-0.691,2.673,5,vector_buf_b_reg[23][3]/C,operand_x_reg_reg[26][3]/D
494,-0.691,2.671,1,issue_cycle_reg[4]_rep__5/C,sched_coeff_reg_reg[44][7]/D
495,-0.691,2.671,5,vector_buf_b_reg[61][10]/C,operand_x_reg_reg[47][10]/D
496,-0.690,2.671,6,bf_cycle_reg[0]/C,signal_reg_reg[22][13]/D
497,-0.690,2.671,6,bf_cycle_reg[0]/C,signal_reg_reg[49][13]/D
498,-0.690,2.671,6,bf_cycle_reg[0]/C,signal_reg_reg[49][15]/D
499,-0.690,2.671,7,operand_x_reg_reg[17][12]/C,lane_product_reg_reg[17][19]/D
500,-0.690,2.670,7,bf_cycle_reg[1]/C,signal_reg_reg[47][21]/D
501,-0.690,2.672,5,vector_buf_b_reg[36][6]/C,operand_x_reg_reg[44][6]/D
502,-0.690,2.670,6,bf_cycle_reg[1]/C,signal_reg_reg[96][20]/D
503,-0.690,2.671,7,operand_x_reg_reg[52][15]/C,lane_product_reg_reg[52][22]/D
504,-0.690,2.670,4,vector_buf_b_reg[42][2]/C,operand_x_reg_reg[106][2]/D
505,-0.690,2.670,5,vector_buf_b_reg[28][8]/C,operand_x_reg_reg[28][8]/D
506,-0.690,2.669,5,vector_buf_a_reg[7][13]/C,operand_x_reg_reg[38][13]/D
507,-0.690,2.670,5,vector_buf_b_reg[3][5]/C,operand_x_reg_reg[10][5]/D
508,-0.690,2.672,5,vector_buf_b_reg[48][10]/C,operand_x_reg_reg[74][10]/D
509,-0.690,2.669,1,sched_bank_reg_reg[0]_rep__9/C,operand_x_reg_reg[9][1]/D
510,-0.689,2.670,7,operand_x_reg_reg[36][11]/C,lane_product_reg_reg[36][15]/D
511,-0.689,2.670,5,vector_buf_a_reg[44][4]/C,operand_x_reg_reg[22][4]/D
512,-0.689,2.669,4,vector_buf_b_reg[17][13]/C,operand_x_reg_reg[35][13]/D
513,-0.688,2.669,1,issue_active_reg_rep__0/C,sched_valid_reg_reg[121]_rep__7/D
514,-0.688,2.669,7,bf_cycle_reg[0]/C,signal_reg_reg[66][16]/D
515,-0.688,2.669,7,bf_cycle_reg[0]/C,signal_reg_reg[82][16]/D
516,-0.688,2.671,7,operand_x_reg_reg[53][0]/C,lane_product_reg_reg[53][2]/D
517,-0.688,2.669,5,vector_buf_a_reg[34][4]/C,operand_x_reg_reg[38][4]/D
518,-0.688,2.670,5,vector_buf_b_reg[55][14]/C,operand_x_reg_reg[10][14]/D
519,-0.688,2.669,4,sched_src_reg_reg[26][4]_rep/C,operand_x_reg_reg[34][13]/D
520,-0.688,2.668,1,issue_cycle_reg[1]_rep__3/C,sched_coeff_reg_reg[11][6]/D
521,-0.688,2.584,1,red_cycle_reg[1]/C,red_s0_data_reg[58][20]/CE
522,-0.688,2.584,1,red_cycle_reg[1]/C,red_s0_data_reg[58][21]/CE
523,-0.688,2.584,1,red_cycle_reg[1]/C,red_s0_data_reg[58][22]/CE
524,-0.688,2.584,1,red_cycle_reg[1]/C,red_s0_data_reg[58][23]/CE
525,-0.688,2.668,5,vector_buf_b_reg[11][10]/C,operand_x_reg_reg[44][10]/D
526,-0.687,2.667,5,vector_buf_b_reg[28][8]/C,operand_x_reg_reg[53][8]/D
527,-0.687,2.668,7,operand_x_reg_reg[41][3]/C,lane_product_reg_reg[41][6]/D
528,-0.687,2.669,7,operand_x_reg_reg[94][3]/C,lane_product_reg_reg[94][13]/D
529,-0.687,2.668,7,operand_x_reg_reg[21][9]/C,lane_product_reg_reg[21][13]/D
530,-0.687,2.669,7,operand_x_reg_reg[35][6]/C,lane_product_reg_reg[35][7]/D
531,-0.687,2.668,1,issue_active_reg/C,sched_coeff_reg_reg[97][1]/D
532,-0.687,2.668,5,vector_buf_a_reg[35][12]/C,operand_x_reg_reg[77][12]/D
533,-0.687,2.667,3,vector_buf_b_reg[33][9]/C,operand_x_reg_reg[113][9]/D
534,-0.686,2.669,7,operand_x_reg_reg[68][14]/C,lane_product_reg_reg[68][21]/D
535,-0.686,2.667,7,operand_x_reg_reg[46][3]/C,lane_product_reg_reg[46][13]/D
536,-0.686,2.667,5,vector_buf_a_reg[21][14]/C,operand_x_reg_reg[25][14]/D
537,-0.686,2.666,1,issue_cycle_reg[1]_rep__1/C,sched_coeff_reg_reg[103][1]/D
538,-0.686,2.668,7,operand_x_reg_reg[91][15]/C,lane_product_reg_reg[91][38]/D
539,-0.685,2.666,7,operand_x_reg_reg[122][15]/C,lane_product_reg_reg[122][35]/D
540,-0.685,2.665,4,sched_src_reg_reg[41][3]_rep__4/C,operand_x_reg_reg[41][0]/D
541,-0.685,2.666,7,operand_x_reg_reg[10][9]/C,lane_product_reg_reg[10][11]/D
542,-0.685,2.665,7,operand_x_reg_reg[20][0]/C,lane_product_reg_reg[20][1]/D
543,-0.685,2.665,7,operand_x_reg_reg[87][6]/C,lane_product_reg_reg[87][13]/D
544,-0.685,2.666,7,operand_x_reg_reg[114][12]/C,lane_product_reg_reg[114][17]/D
545,-0.685,2.666,1,issue_active_reg_rep__4/C,sched_coeff_reg_reg[4][0]/D
546,-0.685,2.665,7,bf_cycle_reg[5]/C,signal_reg_reg[93][17]/D
547,-0.685,2.665,7,bf_cycle_reg[5]/C,signal_reg_reg[89][19]/D
548,-0.685,2.666,4,vector_buf_a_reg[61][8]/C,operand_x_reg_reg[30][8]/D
549,-0.684,2.665,7,operand_x_reg_reg[82][1]/C,lane_product_reg_reg[82][3]/D
550,-0.684,2.664,7,bf_cycle_reg[5]/C,signal_reg_reg[109][20]/D
551,-0.684,2.665,6,bf_cycle_reg[4]/C,signal_reg_reg[74][23]/D
552,-0.684,2.665,3,vector_buf_b_reg[3][12]/C,operand_x_reg_reg[113][12]/D
553,-0.684,2.663,1,sched_bank_reg_reg[0]_rep__3/C,operand_x_reg_reg[89][0]/D
554,-0.684,2.665,5,vector_buf_b_reg[57][0]/C,operand_x_reg_reg[117][0]/D
555,-0.683,2.664,7,bf_cycle_reg[0]/C,signal_reg_reg[22][18]/D
556,-0.683,2.663,7,operand_x_reg_reg[91][3]/C,lane_product_reg_reg[91][9]/D
557,-0.683,2.666,4,vector_buf_b_reg[53][5]/C,operand_x_reg_reg[43][5]/D
558,-0.683,2.665,4,vector_buf_a_reg[61][2]/C,operand_x_reg_reg[85][2]/D
559,-0.683,2.664,6,bf_cycle_reg[0]/C,signal_reg_reg[62][23]/D
560,-0.683,2.664,6,bf_cycle_reg[4]/C,signal_reg_reg[74][21]/D
561,-0.683,2.664,6,bf_cycle_reg[4]/C,signal_reg_reg[90][21]/D
562,-0.683,2.664,6,bf_cycle_reg[4]/C,signal_reg_reg[90][23]/D
563,-0.682,2.663,7,bf_cycle_reg[0]/C,signal_reg_reg[49][18]/D
564,-0.682,2.663,7,operand_x_reg_reg[74][0]/C,lane_product_reg_reg[74][4]/D
565,-0.682,2.662,2,sched_src_reg_reg[25][3]_rep__0/C,operand_x_reg_reg[82][4]/D
566,-0.682,2.664,5,vector_buf_b_reg[6][5]/C,operand_x_reg_reg[39][5]/D
567,-0.682,2.663,6,bf_cycle_reg[0]/C,signal_reg_reg[62][21]/D
568,-0.682,2.663,6,bf_cycle_reg[0]/C,signal_reg_reg[78][21]/D
569,-0.682,2.663,6,bf_cycle_reg[0]/C,signal_reg_reg[78][23]/D
570,-0.682,2.664,5,vector_buf_b_reg[42][5]/C,operand_x_reg_reg[47][5]/D
571,-0.682,2.661,4,sched_src_reg_reg[101][1]_rep__5/C,operand_x_reg_reg[115][5]/D
572,-0.681,2.662,7,operand_x_reg_reg[86][4]/C,lane_product_reg_reg[86][6]/D
573,-0.681,2.662,5,sched_src_reg_reg[25][4]_rep__20/C,operand_x_reg_reg[7][13]/D
574,-0.681,2.662,4,sched_src_reg_reg[46][1]_rep/C,operand_x_reg_reg[114][3]/D
575,-0.681,2.660,1,sched_bank_reg_reg[0]/C,operand_x_reg_reg[4][7]/D
576,-0.681,2.663,7,operand_x_reg_reg[38][15]/C,lane_product_reg_reg[38][18]/D
