index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_loc,end_loc,start_fanout
274,B_kernel_control_to_p4_input_mem,-0.118000,2.098000,0.078000,2.020000,"0","u_unified_p4_kernel/ingress_data_q_reg[36]/C","u_unified_p4_kernel/input_mem_reg[1][46][4]/D","SLICE_X92Y36","SLICE_X96Y79",""
275,D_control_or_r4c,-0.117000,2.098000,0.179000,1.919000,"1","u_bounded_lfnst_engine/out_data_reg[44]/C","lfnst_grid_reg[0][12]/D","SLICE_X56Y10","SLICE_X107Y21",""
276,E_other,-0.117000,2.098000,0.363000,1.735000,"3","output_active_reg/C","output_index_reg[5]_replica_7/D","SLICE_X97Y29","SLICE_X72Y43",""
277,E_other,-0.117000,2.099000,0.200000,1.899000,"2","u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_rep[0]_rep__1/C","u_bounded_lfnst_engine/coeff_bundle_q_reg[528]/D","SLICE_X72Y11","SLICE_X53Y6",""
278,C_other_cache_kernel_or_write,-0.117000,2.013000,0.539000,1.474000,"5","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_rd_raw_data_q_reg[9]/CE","SLICE_X78Y31","SLICE_X65Y23",""
279,E_other,-0.117000,2.013000,0.387000,1.626000,"3","u_unified_p4_kernel/slot_state_q_reg[0][0]/C","u_unified_p4_kernel/slot_bundle_base_q_reg[1][0]/CE","SLICE_X80Y34","SLICE_X73Y31",""
280,E_other,-0.117000,2.013000,0.387000,1.626000,"3","u_unified_p4_kernel/slot_state_q_reg[0][0]/C","u_unified_p4_kernel/slot_bundle_base_q_reg[1][4]/CE","SLICE_X80Y34","SLICE_X73Y31",""
281,C_other_cache_kernel_or_write,-0.117000,2.097000,0.414000,1.683000,"5","kernel_h_rd_addr_q_reg[1][2]/C","kernel_h_rd_data_q_reg[31]/D","SLICE_X84Y47","SLICE_X80Y42",""
282,A_cache_to_lfnst_response,-0.116000,2.099000,0.441000,1.658000,"3","lfnst_mem_resp_data_q_reg[14]/C","lfnst_grid_reg[27][14]/D","SLICE_X70Y17","SLICE_X106Y18",""
283,E_other,-0.116000,2.013000,0.319000,1.694000,"2","u_unified_p4_kernel/fifo_count_q_reg[2]/C","u_unified_p4_kernel/fifo_data_q_reg[61][28]/CE","SLICE_X70Y86","SLICE_X81Y118",""
284,C_other_cache_kernel_or_write,-0.115000,2.011000,0.598000,1.413000,"5","u_unified_p4_kernel/slot_state_q_reg[2][0]/C","kernel_h_rd_data_q_reg[43]/CE","SLICE_X78Y31","SLICE_X78Y41",""
285,E_other,-0.115000,1.914000,0.360000,1.554000,"2","result_cmd_valid_q_reg/C","gen_result_slots[0].gen_result_banks[1].u_result_bank/mem_reg_64_127_7_9/RAMA/WE","SLICE_X76Y62","SLICE_X62Y84",""
286,E_other,-0.115000,1.914000,0.360000,1.554000,"2","result_cmd_valid_q_reg/C","gen_result_slots[0].gen_result_banks[1].u_result_bank/mem_reg_64_127_7_9/RAMB/WE","SLICE_X76Y62","SLICE_X62Y84",""
287,E_other,-0.115000,1.914000,0.360000,1.554000,"2","result_cmd_valid_q_reg/C","gen_result_slots[0].gen_result_banks[1].u_result_bank/mem_reg_64_127_7_9/RAMC/WE","SLICE_X76Y62","SLICE_X62Y84",""
288,E_other,-0.115000,1.914000,0.360000,1.554000,"2","result_cmd_valid_q_reg/C","gen_result_slots[0].gen_result_banks[1].u_result_bank/mem_reg_64_127_7_9/RAMD/WE","SLICE_X76Y62","SLICE_X62Y84",""
289,E_other,-0.115000,2.012000,0.389000,1.623000,"3","u_unified_p4_kernel/slot_state_q_reg[0][0]/C","u_unified_p4_kernel/slot_group_count_q_reg[2][2]/CE","SLICE_X80Y34","SLICE_X78Y31",""
290,C_other_cache_kernel_or_write,-0.115000,2.096000,0.346000,1.750000,"5","kernel_h_rd_addr_q_reg[3][5]/C","kernel_h_rd_data_q_reg[51]/D","SLICE_X84Y37","SLICE_X84Y35",""
291,E_other,-0.114000,2.094000,0.604000,1.490000,"5","lfnst_run_q_reg_replica/C","kernel_cut_h_q_reg[3]_replica/D","SLICE_X96Y29","SLICE_X85Y28",""
292,A_cache_to_lfnst_response,-0.113000,2.095000,0.293000,1.802000,"3","lfnst_mem_resp_data_q_reg[14]/C","lfnst_grid_reg[47][14]/D","SLICE_X70Y17","SLICE_X102Y13",""
293,C_other_cache_kernel_or_write,-0.113000,2.093000,0.487000,1.606000,"5","kernel_h_rd_addr_q_reg[3][0]/C","kernel_h_rd_data_q_reg[63]/D","SLICE_X79Y31","SLICE_X83Y48",""
294,C_other_cache_kernel_or_write,-0.113000,2.094000,0.389000,1.705000,"4","kernel_vector_q_reg[0]_rep__0/C","vwrite_cmd_data_q_reg[1][1]/D","SLICE_X102Y23","SLICE_X69Y66",""
295,E_other,-0.113000,2.009000,0.389000,1.620000,"3","u_unified_p4_kernel/slot_state_q_reg[0][0]/C","u_unified_p4_kernel/slot_group_count_q_reg[2][4]/CE","SLICE_X80Y34","SLICE_X74Y31",""
296,D_control_or_r4c,-0.113000,2.093000,0.518000,1.575000,"5","lfnst_run_q_reg_replica/C","lfnst_grid_reg[36][2]/D","SLICE_X96Y29","SLICE_X103Y17",""
297,E_other,-0.113000,2.095000,0.527000,1.568000,"5","kernel_feed_group_q_reg[0]/C","u_unified_p4_kernel/ingress_data_q_reg[61]/D","SLICE_X88Y29","SLICE_X89Y34",""
298,D_control_or_r4c,-0.112000,2.007000,0.314000,1.693000,"2","lfnst_mem_resp_grid_addr_q_reg[1]_replica_1/C","lfnst_grid_reg[16][5]/CE","SLICE_X89Y21","SLICE_X102Y20",""
