index,category,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_cell,start_loc,end_cell,end_loc,start_net_fanout
26,D_r4c_or_launch,-0.010000,1.862000,0.202000,1.660000,"1","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep/C","u_dut/frozen_r4c/operand_x_reg_reg[38][6]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep","SLICE_X70Y11","u_dut/frozen_r4c/operand_x_reg_reg[38][6]","SLICE_X90Y22","163"
27,C_result_write,-0.010000,1.846000,0.388000,1.458000,"5","u_dut/frozen_r4c/output_bank_reg[0]_rep__6/C","u_dut/result_mem_reg_448_511_28_34/RAMA/I","u_dut/frozen_r4c/output_bank_reg[0]_rep__6","SLICE_X73Y84","u_dut/result_mem_reg_448_511_28_34/RAMA","SLICE_X75Y97","122"
28,F_v_write,-0.009000,1.926000,0.499000,1.427000,"6","u_dut/frozen_r4c/output_bank_reg[1]_rep__7/C","u_dut/v_wr_data0_q_reg[2]/D","u_dut/frozen_r4c/output_bank_reg[1]_rep__7","SLICE_X84Y87","u_dut/v_wr_data0_q_reg[2]","SLICE_X73Y88","122"
29,D_r4c_or_launch,-0.009000,1.894000,0.204000,1.690000,"1","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep/C","u_dut/frozen_r4c/operand_x_reg_reg[38][4]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep","SLICE_X70Y11","u_dut/frozen_r4c/operand_x_reg_reg[38][4]","SLICE_X90Y20","163"
30,D_r4c_or_launch,-0.009000,1.855000,0.203000,1.652000,"1","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep/C","u_dut/frozen_r4c/operand_x_reg_reg[54][14]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep","SLICE_X70Y11","u_dut/frozen_r4c/operand_x_reg_reg[54][14]","SLICE_X91Y21","163"
31,D_r4c_or_launch,-0.008000,1.791000,0.167000,1.624000,"1","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep/C","u_dut/frozen_r4c/operand_x_reg_reg[21][1]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep","SLICE_X70Y11","u_dut/frozen_r4c/operand_x_reg_reg[21][1]","SLICE_X88Y16","163"
32,D_r4c_or_launch,-0.008000,1.809000,0.168000,1.641000,"1","u_dut/frozen_r4c/sched_src_sel_reg_reg[0][0]_rep__2/C","u_dut/frozen_r4c/operand_x_reg_reg[16][14]/D","u_dut/frozen_r4c/sched_src_sel_reg_reg[0][0]_rep__2","SLICE_X75Y8","u_dut/frozen_r4c/operand_x_reg_reg[16][14]","SLICE_X84Y12","128"
33,C_result_write,-0.007000,1.849000,0.388000,1.461000,"5","u_dut/frozen_r4c/output_bank_reg[0]_rep__6/C","u_dut/result_mem_reg_640_703_28_34/RAMA/I","u_dut/frozen_r4c/output_bank_reg[0]_rep__6","SLICE_X73Y84","u_dut/result_mem_reg_640_703_28_34/RAMA","SLICE_X75Y101","122"
34,F_v_write,-0.007000,1.916000,0.392000,1.524000,"6","u_dut/frozen_r4c/output_bank_reg[0]_rep__0/C","u_dut/v_wr_data1_q_reg[13]/D","u_dut/frozen_r4c/output_bank_reg[0]_rep__0","SLICE_X80Y96","u_dut/v_wr_data1_q_reg[13]","SLICE_X81Y100","92"
35,D_r4c_or_launch,-0.007000,1.886000,0.204000,1.682000,"1","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep/C","u_dut/frozen_r4c/operand_x_reg_reg[38][7]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep","SLICE_X70Y11","u_dut/frozen_r4c/operand_x_reg_reg[38][7]","SLICE_X90Y25","163"
36,D_r4c_or_launch,-0.007000,1.872000,0.175000,1.697000,"1","u_dut/frozen_r4c/sched_src_sel_reg_reg[0][0]_rep__2/C","u_dut/frozen_r4c/operand_x_reg_reg[5][15]/D","u_dut/frozen_r4c/sched_src_sel_reg_reg[0][0]_rep__2","SLICE_X75Y8","u_dut/frozen_r4c/operand_x_reg_reg[5][15]","SLICE_X94Y17","128"
37,D_r4c_or_launch,-0.006000,1.812000,0.342000,1.470000,"2","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep__5/C","u_dut/frozen_r4c/operand_x_reg_reg[46][14]/D","u_dut/frozen_r4c/sched_bank_reg_reg[0]_rep__5","SLICE_X75Y14","u_dut/frozen_r4c/operand_x_reg_reg[46][14]","SLICE_X87Y12","117"
38,D_r4c_or_launch,-0.006000,1.743000,0.212000,1.531000,"3","u_dut/phase_reg[0]/C","u_dut/frozen_r4c/r4a_vector_buf_b_reg[0][63][3]/CE","u_dut/phase_reg[0]","SLICE_X72Y60","u_dut/frozen_r4c/r4a_vector_buf_b_reg[0][63][3]","SLICE_X71Y3","1024"
39,A_staging_response,-0.006000,1.811000,0.369000,1.442000,"4","u_dut/stage_bank_addr1_reg[4]_rep__15/C","u_dut/stage_rsp_tag3_q_reg[4]/D","u_dut/stage_bank_addr1_reg[4]_rep__15","SLICE_X72Y65","u_dut/stage_rsp_tag3_q_reg[4]","SLICE_X73Y42","112"
