index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_loc,end_loc,start_fanout
263,E_other,-0.908000,2.890000,1.691000,1.199000,"7","u_bounded_lfnst_engine/input_terms_q_reg[177]_replica/C","u_bounded_lfnst_engine/products_q_reg[11][3]/D","SLICE_X97Y110","SLICE_X101Y110",""
264,B_kernel_control_to_p4_input_mem,-0.908000,2.888000,0.461000,2.427000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[0][38][12]/D","SLICE_X101Y76","SLICE_X85Y16",""
265,B_kernel_control_to_p4_input_mem,-0.908000,2.888000,0.513000,2.375000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[1][27][11]/D","SLICE_X101Y76","SLICE_X104Y23",""
266,B_kernel_control_to_p4_input_mem,-0.907000,2.888000,0.656000,2.232000,"6","lfnst_grid_reg[43][1]/C","u_unified_p4_kernel/input_mem_reg[0][17][1]/D","SLICE_X103Y85","SLICE_X103Y38",""
267,D_control_or_r4c,-0.907000,2.889000,0.600000,2.289000,"5","kernel_vector_q_reg[1]_rep__1_replica_3/C","kernel_vector_q_reg[1]_rep__2/D","SLICE_X97Y80","SLICE_X100Y81",""
268,B_kernel_control_to_p4_input_mem,-0.907000,2.888000,0.513000,2.375000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[0][43][11]/D","SLICE_X101Y76","SLICE_X103Y21",""
269,B_kernel_control_to_p4_input_mem,-0.907000,2.888000,0.462000,2.426000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[3][11][15]/D","SLICE_X87Y62","SLICE_X104Y21",""
270,C_other_cache_kernel_or_write,-0.907000,2.889000,0.687000,2.202000,"7","lfnst_mem_req_bank_q_reg[1]/C","kernel_rd_raw_data_q_reg[29]/D","SLICE_X78Y171","SLICE_X81Y189",""
271,B_kernel_control_to_p4_input_mem,-0.907000,2.886000,0.461000,2.425000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[1][62][12]/D","SLICE_X101Y76","SLICE_X87Y14",""
272,B_kernel_control_to_p4_input_mem,-0.906000,2.886000,0.546000,2.340000,"6","lfnst_grid_reg[20][14]/C","u_unified_p4_kernel/input_mem_reg[0][26][14]/D","SLICE_X103Y71","SLICE_X83Y13",""
273,E_other,-0.906000,2.887000,1.735000,1.152000,"7","u_bounded_lfnst_engine/input_terms_q_reg[173]_replica/C","u_bounded_lfnst_engine/products_q_reg[26][19]/D","SLICE_X98Y117","SLICE_X101Y127",""
274,E_other,-0.906000,2.888000,1.676000,1.212000,"7","u_bounded_lfnst_engine/input_terms_q_reg[177]_replica/C","u_bounded_lfnst_engine/products_q_reg[11][0]/D","SLICE_X97Y110","SLICE_X101Y110",""
275,C_other_cache_kernel_or_write,-0.906000,2.887000,0.708000,2.179000,"7","kernel_stage_q_reg_replica_11/C","kernel_rd_raw_data_q_reg[39]/D","SLICE_X78Y139","SLICE_X77Y198",""
276,A_cache_to_lfnst_response,-0.906000,2.889000,0.662000,2.227000,"8","kernel_rd_req_pending_q_reg_replica_2/C","lfnst_mem_resp_valid_q_reg_rep/D","SLICE_X78Y129","SLICE_X79Y180",""
277,B_kernel_control_to_p4_input_mem,-0.906000,2.887000,0.501000,2.386000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[2][30][12]/D","SLICE_X101Y76","SLICE_X98Y14",""
278,B_kernel_control_to_p4_input_mem,-0.906000,2.888000,0.611000,2.277000,"6","lfnst_grid_reg[23][7]/C","u_unified_p4_kernel/input_mem_reg[2][51][7]/D","SLICE_X102Y71","SLICE_X88Y9",""
279,B_kernel_control_to_p4_input_mem,-0.906000,2.888000,0.502000,2.386000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[2][5][15]/D","SLICE_X87Y62","SLICE_X102Y35",""
280,B_kernel_control_to_p4_input_mem,-0.906000,2.886000,0.513000,2.373000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[3][47][11]/D","SLICE_X101Y76","SLICE_X103Y26",""
281,B_kernel_control_to_p4_input_mem,-0.906000,2.886000,0.410000,2.476000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[2][7][13]/D","SLICE_X101Y76","SLICE_X109Y26",""
282,B_kernel_control_to_p4_input_mem,-0.906000,2.885000,0.396000,2.489000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[1][40][12]/D","SLICE_X101Y76","SLICE_X73Y46",""
283,B_kernel_control_to_p4_input_mem,-0.906000,2.885000,0.396000,2.489000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[3][40][12]/D","SLICE_X101Y76","SLICE_X73Y45",""
284,B_kernel_control_to_p4_input_mem,-0.905000,2.888000,0.502000,2.386000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[1][53][15]/D","SLICE_X87Y62","SLICE_X103Y40",""
285,B_kernel_control_to_p4_input_mem,-0.905000,2.887000,0.601000,2.286000,"6","lfnst_grid_reg[31][14]/C","u_unified_p4_kernel/input_mem_reg[0][60][14]/D","SLICE_X102Y88","SLICE_X80Y47",""
286,B_kernel_control_to_p4_input_mem,-0.905000,2.887000,0.601000,2.286000,"6","kernel_vector_q_reg[1]_rep__2/C","u_unified_p4_kernel/input_mem_reg[1][51][4]/D","SLICE_X100Y81","SLICE_X104Y18",""
287,B_kernel_control_to_p4_input_mem,-0.905000,2.888000,0.436000,2.452000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[2][49][11]/D","SLICE_X87Y62","SLICE_X106Y38",""
288,B_kernel_control_to_p4_input_mem,-0.905000,2.885000,0.513000,2.372000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[2][11][11]/D","SLICE_X101Y76","SLICE_X103Y21",""
289,B_kernel_control_to_p4_input_mem,-0.905000,2.887000,0.547000,2.340000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[3][9][2]/D","SLICE_X87Y62","SLICE_X101Y19",""
290,B_kernel_control_to_p4_input_mem,-0.904000,2.887000,0.436000,2.451000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[3][37][11]/D","SLICE_X87Y62","SLICE_X107Y38",""
