cycle,event,phase,vector,group,index,addr,end,cache,bank,request_id
18,epoch_scrub,0,,,,17,,A,1,
18,epoch_scrub,0,,,,17,,A,2,
18,epoch_scrub,0,,,,17,,A,3,
18,epoch_scrub,0,,,,17,,B,0,
18,epoch_scrub,0,,,,17,,B,1,
18,epoch_scrub,0,,,,17,,B,2,
18,epoch_scrub,0,,,,17,,B,3,
19,epoch_scrub,0,,,,18,,A,0,
19,epoch_scrub,0,,,,18,,A,1,
19,epoch_scrub,0,,,,18,,A,2,
19,epoch_scrub,0,,,,18,,A,3,
19,epoch_scrub,0,,,,18,,B,0,
19,epoch_scrub,0,,,,18,,B,1,
19,epoch_scrub,0,,,,18,,B,2,
19,epoch_scrub,0,,,,18,,B,3,
20,epoch_scrub,0,,,,19,,A,0,
20,epoch_scrub,0,,,,19,,A,1,
20,epoch_scrub,0,,,,19,,A,2,
20,epoch_scrub,0,,,,19,,A,3,
20,epoch_scrub,0,,,,19,,B,0,
20,epoch_scrub,0,,,,19,,B,1,
20,epoch_scrub,0,,,,19,,B,2,
20,epoch_scrub,0,,,,19,,B,3,
21,epoch_scrub,0,,,,20,,A,0,
21,epoch_scrub,0,,,,20,,A,1,
21,epoch_scrub,0,,,,20,,A,2,
21,epoch_scrub,0,,,,20,,A,3,
21,epoch_scrub,0,,,,20,,B,0,
21,epoch_scrub,0,,,,20,,B,1,
21,epoch_scrub,0,,,,20,,B,2,
21,epoch_scrub,0,,,,20,,B,3,
22,epoch_scrub,0,,,,21,,A,0,
22,epoch_scrub,0,,,,21,,A,1,
22,epoch_scrub,0,,,,21,,A,2,
22,epoch_scrub,0,,,,21,,A,3,
22,epoch_scrub,0,,,,21,,B,0,
22,epoch_scrub,0,,,,21,,B,1,
22,epoch_scrub,0,,,,21,,B,2,
22,epoch_scrub,0,,,,21,,B,3,
23,epoch_scrub,0,,,,22,,A,0,
23,epoch_scrub,0,,,,22,,A,1,
23,epoch_scrub,0,,,,22,,A,2,
23,epoch_scrub,0,,,,22,,A,3,
23,epoch_scrub,0,,,,22,,B,0,
23,epoch_scrub,0,,,,22,,B,1,
23,epoch_scrub,0,,,,22,,B,2,
23,epoch_scrub,0,,,,22,,B,3,
24,epoch_scrub,0,,,,23,,A,0,
24,epoch_scrub,0,,,,23,,A,1,
24,epoch_scrub,0,,,,23,,A,2,
24,epoch_scrub,0,,,,23,,A,3,
24,epoch_scrub,0,,,,23,,B,0,
24,epoch_scrub,0,,,,23,,B,1,
24,epoch_scrub,0,,,,23,,B,2,
24,epoch_scrub,0,,,,23,,B,3,
25,epoch_scrub,0,,,,24,,A,0,
25,epoch_scrub,0,,,,24,,A,1,
25,epoch_scrub,0,,,,24,,A,2,
25,epoch_scrub,0,,,,24,,A,3,
25,epoch_scrub,0,,,,24,,B,0,
25,epoch_scrub,0,,,,24,,B,1,
25,epoch_scrub,0,,,,24,,B,2,
25,epoch_scrub,0,,,,24,,B,3,
26,epoch_scrub,0,,,,25,,A,0,
26,epoch_scrub,0,,,,25,,A,1,
26,epoch_scrub,0,,,,25,,A,2,
26,epoch_scrub,0,,,,25,,A,3,
26,epoch_scrub,0,,,,25,,B,0,
26,epoch_scrub,0,,,,25,,B,1,
26,epoch_scrub,0,,,,25,,B,2,
26,epoch_scrub,0,,,,25,,B,3,
27,epoch_scrub,0,,,,26,,A,0,
27,epoch_scrub,0,,,,26,,A,1,
27,epoch_scrub,0,,,,26,,A,2,
27,epoch_scrub,0,,,,26,,A,3,
27,epoch_scrub,0,,,,26,,B,0,
27,epoch_scrub,0,,,,26,,B,1,
27,epoch_scrub,0,,,,26,,B,2,
27,epoch_scrub,0,,,,26,,B,3,
28,epoch_scrub,0,,,,27,,A,0,
28,epoch_scrub,0,,,,27,,A,1,
28,epoch_scrub,0,,,,27,,A,2,
28,epoch_scrub,0,,,,27,,A,3,
28,epoch_scrub,0,,,,27,,B,0,
28,epoch_scrub,0,,,,27,,B,1,
28,epoch_scrub,0,,,,27,,B,2,
28,epoch_scrub,0,,,,27,,B,3,
29,epoch_scrub,0,,,,28,,A,0,
29,epoch_scrub,0,,,,28,,A,1,
29,epoch_scrub,0,,,,28,,A,2,
29,epoch_scrub,0,,,,28,,A,3,
29,epoch_scrub,0,,,,28,,B,0,
29,epoch_scrub,0,,,,28,,B,1,
29,epoch_scrub,0,,,,28,,B,2,
29,epoch_scrub,0,,,,28,,B,3,
30,epoch_scrub,0,,,,29,,A,0,
30,epoch_scrub,0,,,,29,,A,1,
30,epoch_scrub,0,,,,29,,A,2,
30,epoch_scrub,0,,,,29,,A,3,
30,epoch_scrub,0,,,,29,,B,0,
30,epoch_scrub,0,,,,29,,B,1,
30,epoch_scrub,0,,,,29,,B,2,
30,epoch_scrub,0,,,,29,,B,3,
31,epoch_scrub,0,,,,30,,A,0,
31,epoch_scrub,0,,,,30,,A,1,
31,epoch_scrub,0,,,,30,,A,2,
31,epoch_scrub,0,,,,30,,A,3,
31,epoch_scrub,0,,,,30,,B,0,
31,epoch_scrub,0,,,,30,,B,1,
31,epoch_scrub,0,,,,30,,B,2,
31,epoch_scrub,0,,,,30,,B,3,
32,epoch_scrub,0,,,,31,,A,0,
32,epoch_scrub,0,,,,31,,A,1,
32,epoch_scrub,0,,,,31,,A,2,
32,epoch_scrub,0,,,,31,,A,3,
32,epoch_scrub,0,,,,31,,B,0,
32,epoch_scrub,0,,,,31,,B,1,
32,epoch_scrub,0,,,,31,,B,2,
32,epoch_scrub,0,,,,31,,B,3,
33,epoch_scrub,0,,,,32,,A,0,
33,epoch_scrub,0,,,,32,,A,1,
33,epoch_scrub,0,,,,32,,A,2,
33,epoch_scrub,0,,,,32,,A,3,
33,epoch_scrub,0,,,,32,,B,0,
33,epoch_scrub,0,,,,32,,B,1,
33,epoch_scrub,0,,,,32,,B,2,
33,epoch_scrub,0,,,,32,,B,3,
34,epoch_scrub,0,,,,33,,A,0,
34,epoch_scrub,0,,,,33,,A,1,
34,epoch_scrub,0,,,,33,,A,2,
34,epoch_scrub,0,,,,33,,A,3,
34,epoch_scrub,0,,,,33,,B,0,
34,epoch_scrub,0,,,,33,,B,1,
34,epoch_scrub,0,,,,33,,B,2,
34,epoch_scrub,0,,,,33,,B,3,
35,epoch_scrub,0,,,,34,,A,0,
35,epoch_scrub,0,,,,34,,A,1,
35,epoch_scrub,0,,,,34,,A,2,
35,epoch_scrub,0,,,,34,,A,3,
35,epoch_scrub,0,,,,34,,B,0,
35,epoch_scrub,0,,,,34,,B,1,
35,epoch_scrub,0,,,,34,,B,2,
35,epoch_scrub,0,,,,34,,B,3,
36,epoch_scrub,0,,,,35,,A,0,
36,epoch_scrub,0,,,,35,,A,1,
36,epoch_scrub,0,,,,35,,A,2,
36,epoch_scrub,0,,,,35,,A,3,
36,epoch_scrub,0,,,,35,,B,0,
36,epoch_scrub,0,,,,35,,B,1,
36,epoch_scrub,0,,,,35,,B,2,
36,epoch_scrub,0,,,,35,,B,3,
37,epoch_scrub,0,,,,36,,A,0,
37,epoch_scrub,0,,,,36,,A,1,
37,epoch_scrub,0,,,,36,,A,2,
37,epoch_scrub,0,,,,36,,A,3,
37,epoch_scrub,0,,,,36,,B,0,
37,epoch_scrub,0,,,,36,,B,1,
37,epoch_scrub,0,,,,36,,B,2,
37,epoch_scrub,0,,,,36,,B,3,
38,epoch_scrub,0,,,,37,,A,0,
38,epoch_scrub,0,,,,37,,A,1,
38,epoch_scrub,0,,,,37,,A,2,
38,epoch_scrub,0,,,,37,,A,3,
38,epoch_scrub,0,,,,37,,B,0,
38,epoch_scrub,0,,,,37,,B,1,
38,epoch_scrub,0,,,,37,,B,2,
38,epoch_scrub,0,,,,37,,B,3,
39,epoch_scrub,0,,,,38,,A,0,
39,epoch_scrub,0,,,,38,,A,1,
39,epoch_scrub,0,,,,38,,A,2,
39,epoch_scrub,0,,,,38,,A,3,
39,epoch_scrub,0,,,,38,,B,0,
39,epoch_scrub,0,,,,38,,B,1,
39,epoch_scrub,0,,,,38,,B,2,
39,epoch_scrub,0,,,,38,,B,3,
40,epoch_scrub,0,,,,39,,A,0,
40,epoch_scrub,0,,,,39,,A,1,
40,epoch_scrub,0,,,,39,,A,2,
40,epoch_scrub,0,,,,39,,A,3,
40,epoch_scrub,0,,,,39,,B,0,
40,epoch_scrub,0,,,,39,,B,1,
40,epoch_scrub,0,,,,39,,B,2,
40,epoch_scrub,0,,,,39,,B,3,
41,epoch_scrub,0,,,,40,,A,0,
41,epoch_scrub,0,,,,40,,A,1,
41,epoch_scrub,0,,,,40,,A,2,
41,epoch_scrub,0,,,,40,,A,3,
41,epoch_scrub,0,,,,40,,B,0,
41,epoch_scrub,0,,,,40,,B,1,
41,epoch_scrub,0,,,,40,,B,2,
41,epoch_scrub,0,,,,40,,B,3,
42,epoch_scrub,0,,,,41,,A,0,
42,epoch_scrub,0,,,,41,,A,1,
42,epoch_scrub,0,,,,41,,A,2,
42,epoch_scrub,0,,,,41,,A,3,
42,epoch_scrub,0,,,,41,,B,0,
42,epoch_scrub,0,,,,41,,B,1,
42,epoch_scrub,0,,,,41,,B,2,
42,epoch_scrub,0,,,,41,,B,3,
43,epoch_scrub,0,,,,42,,A,0,
43,epoch_scrub,0,,,,42,,A,1,
43,epoch_scrub,0,,,,42,,A,2,
43,epoch_scrub,0,,,,42,,A,3,
43,epoch_scrub,0,,,,42,,B,0,
43,epoch_scrub,0,,,,42,,B,1,
43,epoch_scrub,0,,,,42,,B,2,
43,epoch_scrub,0,,,,42,,B,3,
44,epoch_scrub,0,,,,43,,A,0,
44,epoch_scrub,0,,,,43,,A,1,
44,epoch_scrub,0,,,,43,,A,2,
44,epoch_scrub,0,,,,43,,A,3,
44,epoch_scrub,0,,,,43,,B,0,
44,epoch_scrub,0,,,,43,,B,1,
44,epoch_scrub,0,,,,43,,B,2,
44,epoch_scrub,0,,,,43,,B,3,
45,epoch_scrub,0,,,,44,,A,0,
45,epoch_scrub,0,,,,44,,A,1,
45,epoch_scrub,0,,,,44,,A,2,
45,epoch_scrub,0,,,,44,,A,3,
45,epoch_scrub,0,,,,44,,B,0,
45,epoch_scrub,0,,,,44,,B,1,
45,epoch_scrub,0,,,,44,,B,2,
45,epoch_scrub,0,,,,44,,B,3,
46,epoch_scrub,0,,,,45,,A,0,
46,epoch_scrub,0,,,,45,,A,1,
46,epoch_scrub,0,,,,45,,A,2,
46,epoch_scrub,0,,,,45,,A,3,
46,epoch_scrub,0,,,,45,,B,0,
46,epoch_scrub,0,,,,45,,B,1,
46,epoch_scrub,0,,,,45,,B,2,
46,epoch_scrub,0,,,,45,,B,3,
47,epoch_scrub,0,,,,46,,A,0,
47,epoch_scrub,0,,,,46,,A,1,
47,epoch_scrub,0,,,,46,,A,2,
47,epoch_scrub,0,,,,46,,A,3,
47,epoch_scrub,0,,,,46,,B,0,
47,epoch_scrub,0,,,,46,,B,1,
47,epoch_scrub,0,,,,46,,B,2,
47,epoch_scrub,0,,,,46,,B,3,
48,epoch_scrub,0,,,,47,,A,0,
48,epoch_scrub,0,,,,47,,A,1,
48,epoch_scrub,0,,,,47,,A,2,
48,epoch_scrub,0,,,,47,,A,3,
48,epoch_scrub,0,,,,47,,B,0,
48,epoch_scrub,0,,,,47,,B,1,
48,epoch_scrub,0,,,,47,,B,2,
48,epoch_scrub,0,,,,47,,B,3,
49,epoch_scrub,0,,,,48,,A,0,
49,epoch_scrub,0,,,,48,,A,1,
49,epoch_scrub,0,,,,48,,A,2,
49,epoch_scrub,0,,,,48,,A,3,
49,epoch_scrub,0,,,,48,,B,0,
49,epoch_scrub,0,,,,48,,B,1,
49,epoch_scrub,0,,,,48,,B,2,
49,epoch_scrub,0,,,,48,,B,3,
50,epoch_scrub,0,,,,49,,A,0,
50,epoch_scrub,0,,,,49,,A,1,
50,epoch_scrub,0,,,,49,,A,2,
50,epoch_scrub,0,,,,49,,A,3,
50,epoch_scrub,0,,,,49,,B,0,
50,epoch_scrub,0,,,,49,,B,1,
50,epoch_scrub,0,,,,49,,B,2,
50,epoch_scrub,0,,,,49,,B,3,
51,epoch_scrub,0,,,,50,,A,0,
51,epoch_scrub,0,,,,50,,A,1,
51,epoch_scrub,0,,,,50,,A,2,
51,epoch_scrub,0,,,,50,,A,3,
51,epoch_scrub,0,,,,50,,B,0,
51,epoch_scrub,0,,,,50,,B,1,
51,epoch_scrub,0,,,,50,,B,2,
51,epoch_scrub,0,,,,50,,B,3,
52,epoch_scrub,0,,,,51,,A,0,
52,epoch_scrub,0,,,,51,,A,1,
52,epoch_scrub,0,,,,51,,A,2,
52,epoch_scrub,0,,,,51,,A,3,
52,epoch_scrub,0,,,,51,,B,0,
52,epoch_scrub,0,,,,51,,B,1,
52,epoch_scrub,0,,,,51,,B,2,
52,epoch_scrub,0,,,,51,,B,3,
53,epoch_scrub,0,,,,52,,A,0,
53,epoch_scrub,0,,,,52,,A,1,
53,epoch_scrub,0,,,,52,,A,2,
53,epoch_scrub,0,,,,52,,A,3,
53,epoch_scrub,0,,,,52,,B,0,
53,epoch_scrub,0,,,,52,,B,1,
53,epoch_scrub,0,,,,52,,B,2,
53,epoch_scrub,0,,,,52,,B,3,
54,epoch_scrub,0,,,,53,,A,0,
54,epoch_scrub,0,,,,53,,A,1,
54,epoch_scrub,0,,,,53,,A,2,
54,epoch_scrub,0,,,,53,,A,3,
54,epoch_scrub,0,,,,53,,B,0,
54,epoch_scrub,0,,,,53,,B,1,
54,epoch_scrub,0,,,,53,,B,2,
54,epoch_scrub,0,,,,53,,B,3,
55,epoch_scrub,0,,,,54,,A,0,
55,epoch_scrub,0,,,,54,,A,1,
55,epoch_scrub,0,,,,54,,A,2,
55,epoch_scrub,0,,,,54,,A,3,
55,epoch_scrub,0,,,,54,,B,0,
55,epoch_scrub,0,,,,54,,B,1,
55,epoch_scrub,0,,,,54,,B,2,
55,epoch_scrub,0,,,,54,,B,3,
56,epoch_scrub,0,,,,55,,A,0,
56,epoch_scrub,0,,,,55,,A,1,
56,epoch_scrub,0,,,,55,,A,2,
56,epoch_scrub,0,,,,55,,A,3,
56,epoch_scrub,0,,,,55,,B,0,
56,epoch_scrub,0,,,,55,,B,1,
56,epoch_scrub,0,,,,55,,B,2,
56,epoch_scrub,0,,,,55,,B,3,
57,epoch_scrub,0,,,,56,,A,0,
57,epoch_scrub,0,,,,56,,A,1,
57,epoch_scrub,0,,,,56,,A,2,
57,epoch_scrub,0,,,,56,,A,3,
57,epoch_scrub,0,,,,56,,B,0,
57,epoch_scrub,0,,,,56,,B,1,
57,epoch_scrub,0,,,,56,,B,2,
57,epoch_scrub,0,,,,56,,B,3,
58,epoch_scrub,0,,,,57,,A,0,
58,epoch_scrub,0,,,,57,,A,1,
58,epoch_scrub,0,,,,57,,A,2,
58,epoch_scrub,0,,,,57,,A,3,
58,epoch_scrub,0,,,,57,,B,0,
58,epoch_scrub,0,,,,57,,B,1,
58,epoch_scrub,0,,,,57,,B,2,
58,epoch_scrub,0,,,,57,,B,3,
59,epoch_scrub,0,,,,58,,A,0,
59,epoch_scrub,0,,,,58,,A,1,
59,epoch_scrub,0,,,,58,,A,2,
59,epoch_scrub,0,,,,58,,A,3,
59,epoch_scrub,0,,,,58,,B,0,
59,epoch_scrub,0,,,,58,,B,1,
59,epoch_scrub,0,,,,58,,B,2,
59,epoch_scrub,0,,,,58,,B,3,
60,epoch_scrub,0,,,,59,,A,0,
60,epoch_scrub,0,,,,59,,A,1,
60,epoch_scrub,0,,,,59,,A,2,
60,epoch_scrub,0,,,,59,,A,3,
60,epoch_scrub,0,,,,59,,B,0,
60,epoch_scrub,0,,,,59,,B,1,
60,epoch_scrub,0,,,,59,,B,2,
60,epoch_scrub,0,,,,59,,B,3,
61,epoch_scrub,0,,,,60,,A,0,
61,epoch_scrub,0,,,,60,,A,1,
61,epoch_scrub,0,,,,60,,A,2,
61,epoch_scrub,0,,,,60,,A,3,
61,epoch_scrub,0,,,,60,,B,0,
61,epoch_scrub,0,,,,60,,B,1,
61,epoch_scrub,0,,,,60,,B,2,
61,epoch_scrub,0,,,,60,,B,3,
62,epoch_scrub,0,,,,61,,A,0,
62,epoch_scrub,0,,,,61,,A,1,
62,epoch_scrub,0,,,,61,,A,2,
62,epoch_scrub,0,,,,61,,A,3,
62,epoch_scrub,0,,,,61,,B,0,
62,epoch_scrub,0,,,,61,,B,1,
62,epoch_scrub,0,,,,61,,B,2,
62,epoch_scrub,0,,,,61,,B,3,
63,epoch_scrub,0,,,,62,,A,0,
63,epoch_scrub,0,,,,62,,A,1,
63,epoch_scrub,0,,,,62,,A,2,
63,epoch_scrub,0,,,,62,,A,3,
63,epoch_scrub,0,,,,62,,B,0,
63,epoch_scrub,0,,,,62,,B,1,
63,epoch_scrub,0,,,,62,,B,2,
63,epoch_scrub,0,,,,62,,B,3,
64,epoch_scrub,0,,,,63,,A,0,
64,epoch_scrub,0,,,,63,,A,1,
64,epoch_scrub,0,,,,63,,A,2,
64,epoch_scrub,0,,,,63,,A,3,
64,epoch_scrub,0,,,,63,,B,0,
64,epoch_scrub,0,,,,63,,B,1,
64,epoch_scrub,0,,,,63,,B,2,
64,epoch_scrub,0,,,,63,,B,3,
65,epoch_scrub,0,,,,64,,A,0,
65,epoch_scrub,0,,,,64,,A,1,
65,epoch_scrub,0,,,,64,,A,2,
65,epoch_scrub,0,,,,64,,A,3,
65,epoch_scrub,0,,,,64,,B,0,
65,epoch_scrub,0,,,,64,,B,1,
65,epoch_scrub,0,,,,64,,B,2,
65,epoch_scrub,0,,,,64,,B,3,
66,epoch_scrub,0,,,,65,,A,0,
66,epoch_scrub,0,,,,65,,A,1,
66,epoch_scrub,0,,,,65,,A,2,
66,epoch_scrub,0,,,,65,,A,3,
66,epoch_scrub,0,,,,65,,B,0,
66,epoch_scrub,0,,,,65,,B,1,
66,epoch_scrub,0,,,,65,,B,2,
66,epoch_scrub,0,,,,65,,B,3,
67,epoch_scrub,0,,,,66,,A,0,
