index,slack,delay,logic_levels,startpoint,endpoint
2841,-0.210,2.190,7,operand_coeff_reg_reg[25][5]_replica/C,lane_product_reg_reg[101][1]/D
2842,-0.210,2.191,7,operand_coeff_reg_reg[25][1]/C,lane_product_reg_reg[25][2]/D
2843,-0.210,2.191,7,operand_coeff_reg_reg[92][1]/C,lane_product_reg_reg[92][0]/D
2844,-0.210,2.190,7,operand_x_reg_reg[36][0]/C,lane_product_reg_reg[68][0]/D
2845,-0.209,2.192,7,operand_coeff_reg_reg[14][3]/C,lane_product_reg_reg[14][8]/D
2846,-0.209,2.190,7,operand_coeff_reg_reg[2][2]/C,lane_product_reg_reg[2][11]/D
2847,-0.209,2.189,7,operand_x_reg_reg[13][2]/C,lane_product_reg_reg[13][18]/D
2848,-0.209,2.191,7,operand_coeff_reg_reg[20][1]/C,lane_product_reg_reg[20][3]/D
2849,-0.209,2.190,7,operand_coeff_reg_reg[74][6]/C,lane_product_reg_reg[74][8]/D
2850,-0.209,2.191,7,operand_x_reg_reg[40][2]/C,lane_product_reg_reg[40][6]/D
2851,-0.208,2.188,7,operand_coeff_reg_reg[1][1]/C,lane_product_reg_reg[1][1]/D
2852,-0.208,2.188,7,operand_coeff_reg_reg[36][7]/C,lane_product_reg_reg[36][12]/D
2853,-0.207,2.189,7,operand_coeff_reg_reg[14][3]/C,lane_product_reg_reg[14][5]/D
2854,-0.207,2.187,7,operand_x_reg_reg[49][2]/C,lane_product_reg_reg[81][3]/D
2855,-0.207,2.188,7,operand_coeff_reg_reg[104][1]/C,lane_product_reg_reg[99][0]/D
2856,-0.207,2.188,7,operand_x_reg_reg[19][2]/C,lane_product_reg_reg[19][3]/D
2857,-0.207,2.187,7,operand_x_reg_reg[30][6]/C,lane_product_reg_reg[30][8]/D
2858,-0.207,2.188,7,operand_x_reg_reg[31][1]/C,lane_product_reg_reg[63][1]/D
2859,-0.206,2.188,7,operand_coeff_reg_reg[75][0]/C,lane_product_reg_reg[42][5]/D
2860,-0.206,2.189,7,operand_coeff_reg_reg[123][3]/C,lane_product_reg_reg[123][10]/D
2861,-0.206,2.188,7,operand_coeff_reg_reg[14][3]/C,lane_product_reg_reg[14][9]/D
2862,-0.206,2.186,7,operand_coeff_reg_reg[2][2]/C,lane_product_reg_reg[2][7]/D
2863,-0.206,2.186,7,operand_coeff_reg_reg[75][3]/C,lane_product_reg_reg[108][3]/D
2864,-0.206,2.187,7,operand_x_reg_reg[51][1]/C,lane_product_reg_reg[51][1]/D
2865,-0.206,2.189,7,operand_x_reg_reg[49][13]/C,lane_product_reg_reg[81][16]/D
2866,-0.206,2.186,7,operand_coeff_reg_reg[107][0]/C,lane_product_reg_reg[107][1]/D
2867,-0.206,2.189,7,operand_x_reg_reg[11][5]/C,lane_product_reg_reg[11][5]/D
2868,-0.206,2.188,7,operand_x_reg_reg[40][2]/C,lane_product_reg_reg[40][13]/D
2869,-0.206,2.188,7,operand_x_reg_reg[40][2]/C,lane_product_reg_reg[40][5]/D
