"site","site_type","tile","tile_x","tile_y","clock_region","legal_ff_bel_count","legal_lut_bel_count","occupied_cell_count","occupied_ff_count","occupied_lut_count","occupied_control_sets","occupied_cells"
"SLICE_X64Y110","SLICEL","CLEL_L_X42Y110","232","134","X2Y1","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s2_valid_q_repN_5|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X65Y110","SLICEL","CLEL_R_X42Y110","234","134","X2Y1","16","16","10","3","7","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__23_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/shifted_valid_q|u_dut/u_unified_p4_kernel/<const0>;u_dut/clk|u_dut/output_index[11]_i_1_n_0|u_dut/rst_n",";;;;;;;;;"
"SLICE_X66Y110","SLICEM","CLEM_X43Y110","237","134","X2Y1","16","16","19","10","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s1_valid_q_repN_19|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__23_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;;;"
"SLICE_X67Y110","SLICEM","CLEM_X44Y110","241","134","X2Y1","16","16","9","1","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__23_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;"
"SLICE_X68Y110","SLICEL","CLEL_R_X44Y110","243","134","X2Y1","16","16","7","4","3","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][43][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][43][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][43][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][47][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;"
"SLICE_X69Y110","SLICEL","CLEL_L_X45Y110","244","134","X2Y1","16","16","12","12","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][43][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][39][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][47][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;"
"SLICE_X70Y110","SLICEL","CLEL_R_X45Y110","246","134","X2Y1","16","16","4","3","1","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__23_n_0|u_dut/u_unified_p4_kernel/s0_input_q[41][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][43][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][43][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;"
"SLICE_X71Y110","SLICEM","CLEM_X46Y110","249","134","X2Y1","16","16","9","1","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;"
"SLICE_X72Y110","SLICEL","CLEL_R_X46Y110","251","134","X2Y1","16","16","10","7","3","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/slot_group_count_q[1][4]_i_1_n_0|u_dut/u_unified_p4_kernel/rst_n;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_group_fire|u_dut/u_unified_p4_kernel/rst_n;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;"
"SLICE_X73Y110","SLICEL","CLEL_R_X47Y110","255","134","X2Y1","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s1_valid_q_repN_19|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X74Y110","SLICEM","CLEM_X48Y110","258","134","X2Y1","16","16","7","3","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__23_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/slot_group_count_q[1][4]_i_1_n_0|u_dut/u_unified_p4_kernel/rst_n",";;;;;;"
"SLICE_X75Y110","SLICEM","CLEM_X49Y110","262","134","X2Y1","16","16","8","2","2","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/slot_group_count_q[3][4]_i_1_n_0|u_dut/u_unified_p4_kernel/rst_n;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/slot_state_q[0]|u_dut/u_unified_p4_kernel/rst_n",";;;;;;;"
"SLICE_X76Y110","SLICEL","CLEL_R_X49Y110","264","134","X2Y1","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s2_valid_q_repN_12|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X77Y110","SLICEL","CLEL_L_X50Y110","265","134","X2Y1","16","16","8","2","6","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__23_n_0|u_dut/u_unified_p4_kernel/s0_input_q[34][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/slot_group_count_q[2][4]_i_1_n_0_repN|u_dut/u_unified_p4_kernel/rst_n",";;;;;;;"
"SLICE_X78Y110","SLICEL","CLEL_R_X50Y110","267","134","X2Y1","16","16","4","4","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;"
"SLICE_X79Y110","SLICEM","CLEM_X51Y110","270","134","X2Y1","16","16","4","0","0","",";;;"
"SLICE_X80Y110","SLICEL","CLEL_R_X52Y110","276","134","X2Y1","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s2_valid_q|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X81Y110","SLICEM","CLEM_X53Y110","279","134","X2Y1","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s1_valid_q_repN_12|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X82Y110","SLICEM","CLEM_X54Y110","283","134","X2Y1","16","16","8","0","0","",";;;;;;;"
"SLICE_X83Y110","SLICEL","CLEL_R_X54Y110","285","134","X2Y1","16","16","0","0","0","",""
"SLICE_X84Y110","SLICEL","CLEL_L_X55Y110","286","134","X2Y1","16","16","6","4","2","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][39][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][39][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;"
"SLICE_X85Y110","SLICEL","CLEL_R_X55Y110","288","134","X2Y1","16","16","4","2","2","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q|u_dut/u_unified_p4_kernel/s0_input_q[39][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q|u_dut/u_unified_p4_kernel/s0_input_q[33][15]_i_1_n_0",";;;"
"SLICE_X86Y110","SLICEM","CLEM_X56Y110","291","134","X2Y1","16","16","3","3","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][39][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][35][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;"
"SLICE_X87Y110","SLICEL","CLEL_R_X56Y110","293","134","X2Y1","16","16","0","0","0","",""
"SLICE_X88Y110","SLICEL","CLEL_R_X57Y110","297","134","X2Y1","16","16","12","12","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][24][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][24][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][24][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][24][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;"
"SLICE_X89Y110","SLICEM","CLEM_X58Y110","300","134","X2Y1","16","16","17","8","8","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/s1_valid_q_repN_12|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;;;;;;;"
"SLICE_X90Y110","SLICEM","CLEM_X59Y110","304","134","X3Y1","16","16","4","4","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;"
"SLICE_X91Y110","SLICEL","CLEL_R_X59Y110","306","134","X3Y1","16","16","11","5","6","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__4_n_0|u_dut/u_unified_p4_kernel/s0_input_q[30][15]_i_1_n_0;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][24][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][24][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;;"
"SLICE_X92Y110","SLICEM","CLEM_X60Y110","309","134","X3Y1","16","16","10","4","6","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/issue_desc_valid_q_reg_rep__4_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;;;"
"SLICE_X93Y110","SLICEM","CLEM_X61Y110","313","134","X3Y1","16","16","8","8","0","u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[3][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[2][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[1][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>;u_dut/u_unified_p4_kernel/clk|u_dut/u_unified_p4_kernel/input_mem[0][31][15]_i_1_n_0|u_dut/u_unified_p4_kernel/<const0>",";;;;;;;"
