"cell_name","bit_index","ref_name","loc","bel","site","site_type","tile","tile_x","tile_y","clock_region","fanout","d_pin"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[30]","30","FDRE","SLICE_X70Y148","SLICEL.EFF","SLICE_X70Y148","SLICEL","CLEL_R_X45Y148","246","95","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[30]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[31]","31","FDRE","SLICE_X69Y135","SLICEL.DFF","SLICE_X69Y135","SLICEL","CLEL_L_X45Y135","244","108","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[31]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[32]","32","FDRE","SLICE_X68Y136","SLICEL.DFF","SLICE_X68Y136","SLICEL","CLEL_R_X44Y136","243","107","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[32]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[33]","33","FDRE","SLICE_X70Y138","SLICEL.DFF","SLICE_X70Y138","SLICEL","CLEL_R_X45Y138","246","105","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[33]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[34]","34","FDRE","SLICE_X69Y133","SLICEL.DFF","SLICE_X69Y133","SLICEL","CLEL_L_X45Y133","244","110","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[34]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[35]","35","FDRE","SLICE_X72Y138","SLICEL.BFF","SLICE_X72Y138","SLICEL","CLEL_R_X46Y138","251","105","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[35]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[36]","36","FDRE","SLICE_X69Y140","SLICEL.EFF","SLICE_X69Y140","SLICEL","CLEL_L_X45Y140","244","103","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[36]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[37]","37","FDRE","SLICE_X72Y141","SLICEL.CFF","SLICE_X72Y141","SLICEL","CLEL_R_X46Y141","251","102","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[37]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[38]","38","FDRE","SLICE_X69Y132","SLICEL.DFF","SLICE_X69Y132","SLICEL","CLEL_L_X45Y132","244","111","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[38]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[39]","39","FDRE","SLICE_X72Y135","SLICEL.CFF","SLICE_X72Y135","SLICEL","CLEL_R_X46Y135","251","108","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[39]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[3]","3","FDRE","SLICE_X70Y135","SLICEL.CFF","SLICE_X70Y135","SLICEL","CLEL_R_X45Y135","246","108","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[3]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[40]","40","FDRE","SLICE_X70Y133","SLICEL.DFF","SLICE_X70Y133","SLICEL","CLEL_R_X45Y133","246","110","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[40]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[41]","41","FDRE","SLICE_X72Y138","SLICEL.CFF","SLICE_X72Y138","SLICEL","CLEL_R_X46Y138","251","105","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[41]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[42]","42","FDRE","SLICE_X73Y139","SLICEL.EFF","SLICE_X73Y139","SLICEL","CLEL_R_X47Y139","255","104","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[42]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[43]","43","FDRE","SLICE_X70Y136","SLICEL.CFF","SLICE_X70Y136","SLICEL","CLEL_R_X45Y136","246","107","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[43]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[44]","44","FDRE","SLICE_X69Y136","SLICEL.AFF","SLICE_X69Y136","SLICEL","CLEL_L_X45Y136","244","107","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[44]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[45]","45","FDRE","SLICE_X72Y141","SLICEL.DFF","SLICE_X72Y141","SLICEL","CLEL_R_X46Y141","251","102","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[45]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[46]","46","FDRE","SLICE_X68Y137","SLICEL.CFF","SLICE_X68Y137","SLICEL","CLEL_R_X44Y137","243","106","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[46]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[47]","47","FDRE","SLICE_X72Y140","SLICEL.DFF","SLICE_X72Y140","SLICEL","CLEL_R_X46Y140","251","103","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[47]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[48]","48","FDRE","SLICE_X70Y136","SLICEL.DFF","SLICE_X70Y136","SLICEL","CLEL_R_X45Y136","246","107","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[48]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[49]","49","FDRE","SLICE_X68Y137","SLICEL.DFF","SLICE_X68Y137","SLICEL","CLEL_R_X44Y137","243","106","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[49]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[4]","4","FDRE","SLICE_X72Y134","SLICEL.BFF","SLICE_X72Y134","SLICEL","CLEL_R_X46Y134","251","109","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[4]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[50]","50","FDRE","SLICE_X68Y131","SLICEL.DFF","SLICE_X68Y131","SLICEL","CLEL_R_X44Y131","243","112","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[50]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[51]","51","FDRE","SLICE_X72Y137","SLICEL.CFF","SLICE_X72Y137","SLICEL","CLEL_R_X46Y137","251","106","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[51]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[52]","52","FDRE","SLICE_X72Y133","SLICEL.DFF","SLICE_X72Y133","SLICEL","CLEL_R_X46Y133","251","110","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[52]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[53]","53","FDRE","SLICE_X70Y148","SLICEL.FFF","SLICE_X70Y148","SLICEL","CLEL_R_X45Y148","246","95","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[53]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[54]","54","FDRE","SLICE_X69Y138","SLICEL.DFF","SLICE_X69Y138","SLICEL","CLEL_L_X45Y138","244","105","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[54]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[55]","55","FDRE","SLICE_X72Y134","SLICEL.DFF","SLICE_X72Y134","SLICEL","CLEL_R_X46Y134","251","109","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[55]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[56]","56","FDRE","SLICE_X73Y134","SLICEL.DFF","SLICE_X73Y134","SLICEL","CLEL_R_X47Y134","255","109","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[56]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[57]","57","FDRE","SLICE_X72Y132","SLICEL.BFF","SLICE_X72Y132","SLICEL","CLEL_R_X46Y132","251","111","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[57]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[58]","58","FDRE","SLICE_X72Y135","SLICEL.BFF","SLICE_X72Y135","SLICEL","CLEL_R_X46Y135","251","108","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[58]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[59]","59","FDRE","SLICE_X72Y133","SLICEL.AFF","SLICE_X72Y133","SLICEL","CLEL_R_X46Y133","251","110","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[59]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[5]","5","FDRE","SLICE_X69Y134","SLICEL.BFF","SLICE_X69Y134","SLICEL","CLEL_L_X45Y134","244","109","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[5]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[60]","60","FDRE","SLICE_X72Y132","SLICEL.CFF","SLICE_X72Y132","SLICEL","CLEL_R_X46Y132","251","111","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[60]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[61]","61","FDRE","SLICE_X69Y131","SLICEL.BFF","SLICE_X69Y131","SLICEL","CLEL_L_X45Y131","244","112","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[61]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[62]","62","FDRE","SLICE_X72Y135","SLICEL.DFF","SLICE_X72Y135","SLICEL","CLEL_R_X46Y135","251","108","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[62]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[63]","63","FDRE","SLICE_X70Y133","SLICEL.CFF","SLICE_X70Y133","SLICEL","CLEL_R_X45Y133","246","110","X2Y2","60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[63]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[6]","6","FDRE","SLICE_X72Y129","SLICEL.DFF","SLICE_X72Y129","SLICEL","CLEL_R_X46Y129","251","114","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[6]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[7]","7","FDRE","SLICE_X72Y133","SLICEL.BFF","SLICE_X72Y133","SLICEL","CLEL_R_X46Y133","251","110","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[7]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[8]","8","FDRE","SLICE_X70Y135","SLICEL.DFF","SLICE_X70Y135","SLICEL","CLEL_R_X45Y135","246","108","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[8]/D"
"u_dut/u_unified_p4_kernel/ingress_data_q_reg[9]","9","FDRE","SLICE_X69Y130","SLICEL.HFF","SLICE_X69Y130","SLICEL","CLEL_L_X45Y130","244","113","X2Y2","64","u_dut/u_unified_p4_kernel/ingress_data_q_reg[9]/D"

