"ingress_bit","endpoint_d","startpoint","slack","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","start_cell","start_loc","start_site","start_tile","start_tile_x","start_tile_y","start_clock_region","end_cell","end_loc","end_site","end_tile","end_tile_x","end_tile_y","end_clock_region","source_family"
"54","u_dut/u_unified_p4_kernel/ingress_data_q_reg[54]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.068","5","0.515","1.436","1.951","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[54]","SLICE_X69Y138","SLICE_X69Y138","CLEL_L_X45Y138","244","105","X2Y2","kernel_vector"
"55","u_dut/u_unified_p4_kernel/ingress_data_q_reg[55]/D","u_dut/kernel_h_rd_raw_group_q_reg[2]/C","0.044","6","0.547","1.291","1.838","u_dut/kernel_h_rd_raw_group_q_reg[2]","SLICE_X68Y125","SLICE_X68Y125","CLEL_R_X44Y125","243","118","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[55]","SLICE_X72Y134","SLICE_X72Y134","CLEL_R_X46Y134","251","109","X2Y2","kernel_control"
"56","u_dut/u_unified_p4_kernel/ingress_data_q_reg[56]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.132","5","0.450","1.558","2.008","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[56]","SLICE_X73Y134","SLICE_X73Y134","CLEL_R_X47Y134","255","109","X2Y2","kernel_vector"
"57","u_dut/u_unified_p4_kernel/ingress_data_q_reg[57]/D","u_dut/kernel_vector_q_reg[1]_rep__1/C","-0.058","5","0.513","1.521","2.034","u_dut/kernel_vector_q_reg[1]_rep__1","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[57]","SLICE_X72Y132","SLICE_X72Y132","CLEL_R_X46Y132","251","111","X2Y2","kernel_vector"
"58","u_dut/u_unified_p4_kernel/ingress_data_q_reg[58]/D","u_dut/kernel_vector_q_reg[0]_rep__1/C","-0.052","5","0.535","1.422","1.957","u_dut/kernel_vector_q_reg[0]_rep__1","SLICE_X65Y150","SLICE_X65Y150","CLEL_R_X42Y150","234","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[58]","SLICE_X72Y135","SLICE_X72Y135","CLEL_R_X46Y135","251","108","X2Y2","kernel_vector"
"59","u_dut/u_unified_p4_kernel/ingress_data_q_reg[59]/D","u_dut/kernel_vector_q_reg[1]_rep__0_replica_2/C","-0.091","5","0.465","1.564","2.029","u_dut/kernel_vector_q_reg[1]_rep__0_replica_2","SLICE_X63Y145","SLICE_X63Y145","CLEL_R_X41Y145","231","98","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[59]","SLICE_X72Y133","SLICE_X72Y133","CLEL_R_X46Y133","251","110","X2Y2","kernel_vector"
"5","u_dut/u_unified_p4_kernel/ingress_data_q_reg[5]/D","u_dut/kernel_h_rd_raw_group_q_reg[2]/C","-0.109","6","0.676","1.317","1.993","u_dut/kernel_h_rd_raw_group_q_reg[2]","SLICE_X68Y125","SLICE_X68Y125","CLEL_R_X44Y125","243","118","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[5]","SLICE_X69Y134","SLICE_X69Y134","CLEL_L_X45Y134","244","109","X2Y2","kernel_control"
"60","u_dut/u_unified_p4_kernel/ingress_data_q_reg[60]/D","u_dut/kernel_vector_q_reg[0]_rep__0/C","0.033","5","0.505","1.438","1.943","u_dut/kernel_vector_q_reg[0]_rep__0","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[60]","SLICE_X72Y132","SLICE_X72Y132","CLEL_R_X46Y132","251","111","X2Y2","kernel_vector"
"61","u_dut/u_unified_p4_kernel/ingress_data_q_reg[61]/D","u_dut/kernel_vector_q_reg[1]_rep__1/C","-0.054","5","0.467","1.502","1.969","u_dut/kernel_vector_q_reg[1]_rep__1","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[61]","SLICE_X69Y131","SLICE_X69Y131","CLEL_L_X45Y131","244","112","X2Y2","kernel_vector"
"62","u_dut/u_unified_p4_kernel/ingress_data_q_reg[62]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.017","5","0.420","1.480","1.900","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[62]","SLICE_X72Y135","SLICE_X72Y135","CLEL_R_X46Y135","251","108","X2Y2","kernel_vector"
"63","u_dut/u_unified_p4_kernel/ingress_data_q_reg[63]/D","u_dut/kernel_vector_q_reg[0]_rep/C","-0.083","5","0.378","1.596","1.974","u_dut/kernel_vector_q_reg[0]_rep","SLICE_X68Y162","SLICE_X68Y162","CLEL_R_X44Y162","243","80","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[63]","SLICE_X70Y133","SLICE_X70Y133","CLEL_R_X45Y133","246","110","X2Y2","kernel_vector"
"6","u_dut/u_unified_p4_kernel/ingress_data_q_reg[6]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.045","5","0.386","1.551","1.937","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[6]","SLICE_X72Y129","SLICE_X72Y129","CLEL_R_X46Y129","251","114","X2Y2","kernel_vector"
"7","u_dut/u_unified_p4_kernel/ingress_data_q_reg[7]/D","u_dut/kernel_stage_q_reg/C","-0.102","6","0.580","1.437","2.017","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[7]","SLICE_X72Y133","SLICE_X72Y133","CLEL_R_X46Y133","251","110","X2Y2","kernel_stage"
"8","u_dut/u_unified_p4_kernel/ingress_data_q_reg[8]/D","u_dut/kernel_stage_q_reg/C","0.011","6","0.629","1.339","1.968","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[8]","SLICE_X70Y135","SLICE_X70Y135","CLEL_R_X45Y135","246","108","X2Y2","kernel_stage"
"9","u_dut/u_unified_p4_kernel/ingress_data_q_reg[9]/D","u_dut/kernel_h_rd_raw_group_q_reg[2]/C","-0.112","6","0.690","1.315","2.005","u_dut/kernel_h_rd_raw_group_q_reg[2]","SLICE_X68Y125","SLICE_X68Y125","CLEL_R_X44Y125","243","118","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[9]","SLICE_X69Y130","SLICE_X69Y130","CLEL_L_X45Y130","244","113","X2Y2","kernel_control"

