"ingress_bit","endpoint_d","startpoint","slack","logic_levels","logic_delay_ns","routing_delay_ns","datapath_delay_ns","start_cell","start_loc","start_site","start_tile","start_tile_x","start_tile_y","start_clock_region","end_cell","end_loc","end_site","end_tile","end_tile_x","end_tile_y","end_clock_region","source_family"
"21","u_dut/u_unified_p4_kernel/ingress_data_q_reg[21]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.096","5","0.506","1.522","2.028","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[21]","SLICE_X69Y131","SLICE_X69Y131","CLEL_L_X45Y131","244","112","X2Y2","kernel_vector"
"22","u_dut/u_unified_p4_kernel/ingress_data_q_reg[22]/D","u_dut/kernel_vector_q_reg[1]_rep__2/C","-0.088","5","0.386","1.593","1.979","u_dut/kernel_vector_q_reg[1]_rep__2","SLICE_X67Y157","SLICE_X67Y157","CLEM_X44Y157","241","85","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[22]","SLICE_X69Y134","SLICE_X69Y134","CLEL_L_X45Y134","244","109","X2Y2","kernel_vector"
"23","u_dut/u_unified_p4_kernel/ingress_data_q_reg[23]/D","u_dut/kernel_stage_q_reg/C","-0.064","6","0.706","1.337","2.043","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[23]","SLICE_X72Y132","SLICE_X72Y132","CLEL_R_X46Y132","251","111","X2Y2","kernel_stage"
"24","u_dut/u_unified_p4_kernel/ingress_data_q_reg[24]/D","u_dut/kernel_stage_q_reg/C","-0.114","6","0.730","1.246","1.976","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[24]","SLICE_X73Y134","SLICE_X73Y134","CLEL_R_X47Y134","255","109","X2Y2","kernel_stage"
"25","u_dut/u_unified_p4_kernel/ingress_data_q_reg[25]/D","u_dut/kernel_vector_q_reg[1]_rep__1/C","-0.092","5","0.395","1.606","2.001","u_dut/kernel_vector_q_reg[1]_rep__1","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[25]","SLICE_X72Y137","SLICE_X72Y137","CLEL_R_X46Y137","251","106","X2Y2","kernel_vector"
"26","u_dut/u_unified_p4_kernel/ingress_data_q_reg[26]/D","u_dut/kernel_stage_q_reg/C","-0.032","6","0.740","1.160","1.900","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[26]","SLICE_X72Y140","SLICE_X72Y140","CLEL_R_X46Y140","251","103","X2Y2","kernel_stage"
"27","u_dut/u_unified_p4_kernel/ingress_data_q_reg[27]/D","u_dut/kernel_stage_q_reg/C","0.049","5","0.484","1.377","1.861","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[27]","SLICE_X72Y139","SLICE_X72Y139","CLEL_R_X46Y139","251","104","X2Y2","kernel_stage"
"28","u_dut/u_unified_p4_kernel/ingress_data_q_reg[28]/D","u_dut/kernel_vector_q_reg[0]_rep__0/C","-0.099","5","0.472","1.494","1.966","u_dut/kernel_vector_q_reg[0]_rep__0","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[28]","SLICE_X70Y138","SLICE_X70Y138","CLEL_R_X45Y138","246","105","X2Y2","kernel_vector"
"29","u_dut/u_unified_p4_kernel/ingress_data_q_reg[29]/D","u_dut/kernel_vector_q_reg[1]_rep__1/C","-0.070","5","0.555","1.416","1.971","u_dut/kernel_vector_q_reg[1]_rep__1","SLICE_X60Y150","SLICE_X60Y150","CLEL_R_X39Y150","222","92","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[29]","SLICE_X73Y139","SLICE_X73Y139","CLEL_R_X47Y139","255","104","X2Y2","kernel_vector"
"2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[2]/D","u_dut/kernel_stage_q_reg/C","-0.082","6","0.676","1.386","2.062","u_dut/kernel_stage_q_reg","SLICE_X69Y129","SLICE_X69Y129","CLEL_L_X45Y129","244","114","X2Y2","u_dut/u_unified_p4_kernel/ingress_data_q_reg[2]","SLICE_X69Y133","SLICE_X69Y133","CLEL_L_X45Y133","244","110","X2Y2","kernel_stage"
