bucket,canonical_source_family,canonical_endpoint_family,r5f_endpoint_count,r5f_tns_ns,r6a_endpoint_count,r6a_tns_ns,tns_delta_r6_minus_r5_ns,status
DUT_INTERNAL,u_dut/kernel_vector_q_reg_2,u_dut/u_unified_p4_kernel/ingress_data_q_reg,12,-1.089,1,-0.013,1.076,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/lfnst_case_q_reg,u_dut/rd_cmd_addr_q_reg,11,-0.545,0,0.0,0.545,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_gather_index_q_reg,u_dut/lfnst_mem_req_valid_q_reg,1,-0.092,0,0.0,0.092,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_gather_q_reg,u_dut/lfnst_mem_req_valid_q_reg,0,0.0,1,-0.015,-0.015,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_grid_reg,u_dut/u_unified_p4_kernel/ingress_data_q_reg,1,-0.136,3,-0.044,0.092,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/lfnst_grid_valid_reg,u_dut/u_unified_p4_kernel/ingress_data_q_reg,0,0.0,4,-0.085,-0.085,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_mem_resp_data_q_reg,u_dut/lfnst_grid_reg,6,-0.253,0,0.0,0.253,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_mem_resp_data_q_reg,u_dut/lfnst_input_terms_q_reg,1,-0.08,0,0.0,0.08,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_mem_resp_is_tail_q_reg,u_dut/lfnst_grid_valid_reg,0,0.0,1,-0.013,-0.013,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_mem_resp_valid_q_reg,u_dut/lfnst_grid_reg,17,-0.619,0,0.0,0.619,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_ntrs48_q_reg_1,u_dut/lfnst_grid_reg,2,-0.134,7,-0.072,0.062,SURVIVED_FROM_R5
DUT_INTERNAL,u_dut/lfnst_ntrs48_q_reg_2,u_dut/lfnst_grid_reg,1,-0.007,0,0.0,0.007,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_ntrs48_q_reg_3,u_dut/lfnst_grid_reg,1,-0.011,7,-0.131,-0.12,SURVIVED_FROM_R5
DUT_INTERNAL,u_dut/lfnst_run_q_reg,u_dut/kernel_phase_q_reg,10,-0.778,0,0.0,0.778,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/lfnst_run_q_reg,u_dut/lfnst_grid_reg,25,-0.79,9,-0.179,0.611,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/output_index_reg,u_dut/output_index_reg,0,0.0,5,-0.059,-0.059,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/output_index_reg,u_dut/slot_state_reg,0,0.0,1,-0.003,-0.003,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/rd_cmd_addr_q_reg,u_dut/kernel_rd_raw_data_q_reg,47,-3.188,16,-0.225,2.963,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/rd_cmd_addr_q_reg,u_dut/kernel_rd_raw_valid_q_reg,3,-0.184,1,-0.025,0.159,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/rd_cmd_addr_q_reg,u_dut/lfnst_mem_resp_data_q_reg,12,-0.816,10,-0.226,0.59,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/rd_cmd_addr_q_reg,u_dut/lfnst_mem_resp_valid_q_reg,2,-0.26,1,-0.029,0.231,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/result_cmd_addr_q_reg,u_dut/result_bank,12,-0.372,0,0.0,0.372,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/result_cmd_data_q_reg,u_dut/result_bank,1,-0.019,0,0.0,0.019,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/result_cmd_slot_q_reg,u_dut/result_bank,70,-2.084,4,-0.028,2.056,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/result_cmd_valid_q_reg,u_dut/result_bank,110,-2.301,0,0.0,2.301,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/scrub_active_reg,u_dut/input_cache_bank,8,-0.488,0,0.0,0.488,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/scrub_active_reg,u_dut/lfnst_grid_reg,0,0.0,1,-0.008,-0.008,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/scrub_slot_reg,u_dut/input_cache_bank,40,-1.92,0,0.0,1.92,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/slot_state_reg,u_dut/kernel_phase_q_reg,0,0.0,1,-0.02,-0.02,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/slot_state_reg,u_dut/lfnst_grid_reg,0,0.0,45,-0.914,-0.914,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/slot_state_reg,u_dut/output_index_reg,0,0.0,7,-0.085,-0.085,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/slot_width_reg,u_dut/fill_wr_cmd_addr_q_reg,3,-0.089,0,0.0,0.089,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/slot_width_reg,u_dut/fill_wr_cmd_target_q_reg,1,-0.112,0,0.0,0.112,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg,u_dut/u_bounded_lfnst_engine/coeff_bundle_q_reg,5,-0.147,0,0.0,0.147,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_0,u_dut/u_bounded_lfnst_engine/coeff_bundle_q_reg,4,-0.069,0,0.0,0.069,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/out_group_reg,u_dut/lfnst_grid_reg,12,-0.342,1,-0.021,0.321,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/product_valid_q_reg,u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg,9,-0.184,0,0.0,0.184,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/product_valid_q_reg,u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_0,1,-0.017,0,0.0,0.017,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/product_valid_q_reg,u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_1,1,-0.015,0,0.0,0.015,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/product_valid_q_reg,u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_2,2,-0.036,0,0.0,0.036,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/product_valid_q_reg,u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_3,3,-0.086,0,0.0,0.086,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/product_valid_q_reg,u_dut/u_bounded_lfnst_engine/coeff_fetch_addr_q_reg_4,3,-0.086,0,0.0,0.086,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/product_valid_q_reg,u_dut/u_bounded_lfnst_engine/issue_group_q_reg,2,-0.023,0,0.0,0.023,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_bounded_lfnst_engine/reduce_l5_q_reg,u_dut/u_bounded_lfnst_engine/out_data_reg,4,-0.086,0,0.0,0.086,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_count_q_reg,u_dut/u_unified_p4_kernel/fifo_data_q_reg,6,-0.193,0,0.0,0.193,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_data_q_reg,u_dut/result_cmd_data_q_reg,1,-0.045,0,0.0,0.045,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_data_q_reg,u_dut/vwrite_cmd_data_q_reg,8,-0.529,3,-0.081,0.448,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg,u_dut/result_cmd_data_q_reg,3,-0.101,0,0.0,0.101,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg,u_dut/vwrite_cmd_data_q_reg,10,-0.869,11,-0.222,0.647,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_0,u_dut/result_cmd_data_q_reg,2,-0.068,0,0.0,0.068,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_0,u_dut/vwrite_cmd_data_q_reg,2,-0.128,4,-0.08,0.048,SURVIVED_FROM_R5
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_1,u_dut/vwrite_cmd_data_q_reg,2,-0.181,5,-0.083,0.098,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_2,u_dut/result_cmd_data_q_reg,2,-0.075,0,0.0,0.075,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_2,u_dut/vwrite_cmd_data_q_reg,8,-0.505,1,-0.007,0.498,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_3,u_dut/result_cmd_data_q_reg,2,-0.17,0,0.0,0.17,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_3,u_dut/vwrite_cmd_data_q_reg,8,-0.69,2,-0.035,0.655,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_4,u_dut/vwrite_cmd_data_q_reg,4,-0.307,0,0.0,0.307,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_5,u_dut/vwrite_cmd_data_q_reg,4,-0.389,3,-0.045,0.344,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_6,u_dut/vwrite_cmd_data_q_reg,0,0.0,1,-0.008,-0.008,NEWLY_EXPOSED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_rd_ptr_q_reg_7,u_dut/vwrite_cmd_data_q_reg,2,-0.181,0,0.0,0.181,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/fifo_wr_ptr_q_reg,u_dut/u_unified_p4_kernel/fifo_data_q_reg,9,-0.132,0,0.0,0.132,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/ingress_data_q_reg,u_dut/u_unified_p4_kernel/input_mem_reg,201,-7.99,19,-0.131,7.859,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_unified_p4_kernel/ingress_group_q_reg,u_dut/u_unified_p4_kernel/input_mem_reg,276,-9.695,3,-0.02,9.675,MATERIAL_REDUCTION
DUT_INTERNAL,u_dut/u_unified_p4_kernel/ingress_slot_q_reg,u_dut/u_unified_p4_kernel/input_mem_reg,3,-0.006,0,0.0,0.006,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/ingress_valid_q_reg,u_dut/u_unified_p4_kernel/slot_state_q_reg,1,-0.039,0,0.0,0.039,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_active_size_q_reg,u_dut/u_unified_p4_kernel/s0_input_q_reg,16,-0.254,11,-0.138,0.116,SURVIVED_FROM_R5
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg,u_dut/u_unified_p4_kernel/product_q_reg,4,-0.136,0,0.0,0.136,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg,u_dut/u_unified_p4_kernel/product_q_reg_i_1_psdsp,1,-0.061,0,0.0,0.061,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg,u_dut/u_unified_p4_kernel/product_q_reg_i_2_psdsp,1,-0.062,0,0.0,0.062,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg,u_dut/u_unified_p4_kernel/product_q_reg_i_4_psdsp,1,-0.052,0,0.0,0.052,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg,u_dut/u_unified_p4_kernel/product_q_reg_i_7_psdsp,1,-0.005,0,0.0,0.005,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_0,u_dut/u_unified_p4_kernel/product_q_reg,1,-0.01,0,0.0,0.01,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_1,u_dut/u_unified_p4_kernel/product_q_reg_i_4_psdsp,1,-0.061,0,0.0,0.061,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_10,u_dut/u_unified_p4_kernel/product_q_reg_i_5_psdsp,1,-0.041,0,0.0,0.041,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_10,u_dut/u_unified_p4_kernel/product_q_reg_i_7_psdsp,1,-0.007,0,0.0,0.007,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_10,u_dut/u_unified_p4_kernel/product_q_reg_i_8_psdsp,2,-0.08,0,0.0,0.08,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_11,u_dut/u_unified_p4_kernel/product_q_reg,6,-0.055,0,0.0,0.055,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_11,u_dut/u_unified_p4_kernel/product_q_reg_i_4_psdsp,3,-0.139,0,0.0,0.139,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_11,u_dut/u_unified_p4_kernel/product_q_reg_i_5_psdsp,1,-0.016,0,0.0,0.016,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_14,u_dut/u_unified_p4_kernel/product_q_reg,1,-0.004,0,0.0,0.004,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_2,u_dut/u_unified_p4_kernel/product_q_reg,10,-0.224,0,0.0,0.224,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_5,u_dut/u_unified_p4_kernel/product_q_reg_i_1_psdsp,1,-0.016,0,0.0,0.016,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_6,u_dut/u_unified_p4_kernel/product_q_reg_i_8_psdsp,1,-0.103,0,0.0,0.103,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_7,u_dut/u_unified_p4_kernel/product_q_reg_i_3_psdsp,2,-0.056,0,0.0,0.056,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_7,u_dut/u_unified_p4_kernel/product_q_reg_i_5_psdsp,1,-0.04,0,0.0,0.04,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_7,u_dut/u_unified_p4_kernel/product_q_reg_i_6_psdsp,1,-0.019,0,0.0,0.019,DISAPPEARED_AFTER_R6
DUT_INTERNAL,u_dut/u_unified_p4_kernel/issue_desc_bundle_addr_q_reg_7,u_dut/u_unified_p4_kernel/product_q_reg_i_7_psdsp,1,-0.025,0,0.0,0.025,DISAPPEARED_AFTER_R6
