index,slack,datapath_delay,logic_levels,startpoint,endpoint
68,-0.751,2.732,5,vector_buf_b_reg[4][8]/C,operand_x_reg_reg[71][8]/D
69,-0.750,2.730,5,vector_buf_b_reg[6][15]/C,operand_x_reg_reg[71][15]/D
70,-0.750,2.730,4,vector_buf_a_reg[22][8]/C,operand_x_reg_reg[76][8]/D
71,-0.749,2.729,5,vector_buf_a_reg[57][12]/C,operand_x_reg_reg[123][12]/D
72,-0.748,2.730,6,bf_cycle_reg[3]/C,signal_reg_reg[98][16]/D
73,-0.748,2.728,5,vector_buf_b_reg[18][0]/C,operand_x_reg_reg[75][0]/D
74,-0.747,2.729,6,bf_cycle_reg[3]/C,signal_reg_reg[121][19]/D
75,-0.747,2.728,7,operand_x_reg_reg[100][14]/C,lane_product_reg_reg[100][16]/D
76,-0.747,2.729,4,sched_src_reg_reg[24][1]_rep__25/C,operand_x_reg_reg[42][5]/D
77,-0.747,2.729,5,bf_cycle_reg[3]/C,signal_reg_reg[87][20]/D
78,-0.747,2.728,5,vector_buf_a_reg[15][10]/C,operand_x_reg_reg[17][10]/D
79,-0.747,2.729,6,bf_cycle_reg[3]/C,signal_reg_reg[71][17]/D
80,-0.746,2.729,6,bf_cycle_reg[3]/C,signal_reg_reg[50][19]/D
81,-0.746,2.727,5,vector_buf_a_reg[27][15]/C,operand_x_reg_reg[13][15]/D
82,-0.746,2.726,5,vector_buf_b_reg[33][8]/C,operand_x_reg_reg[44][8]/D
83,-0.745,2.726,7,operand_x_reg_reg[75][11]/C,lane_product_reg_reg[75][17]/D
84,-0.745,2.724,5,vector_buf_a_reg[13][8]/C,operand_x_reg_reg[9][8]/D
85,-0.745,2.725,5,vector_buf_b_reg[32][7]/C,operand_x_reg_reg[49][7]/D
86,-0.745,2.725,4,vector_buf_a_reg[54][1]/C,operand_x_reg_reg[52][1]/D
87,-0.743,2.726,5,vector_buf_b_reg[32][2]/C,operand_x_reg_reg[14][2]/D
88,-0.743,2.724,3,sched_src_reg_reg[24][1]_rep__17/C,operand_x_reg_reg[109][7]/D
89,-0.743,2.724,5,vector_buf_a_reg[47][3]/C,operand_x_reg_reg[71][3]/D
90,-0.742,2.724,6,bf_cycle_reg[3]/C,signal_reg_reg[87][18]/D
91,-0.741,2.723,5,vector_buf_a_reg[42][1]/C,operand_x_reg_reg[78][1]/D
92,-0.740,2.722,7,operand_x_reg_reg[49][1]/C,lane_product_reg_reg[49][6]/D
93,-0.740,2.720,5,vector_buf_a_reg[10][11]/C,operand_x_reg_reg[44][11]/D
94,-0.740,2.722,6,bf_cycle_reg[3]/C,signal_reg_reg[61][13]/D
95,-0.739,2.720,5,vector_buf_a_reg[7][13]/C,operand_x_reg_reg[7][13]/D
96,-0.739,2.721,7,operand_x_reg_reg[49][1]/C,lane_product_reg_reg[49][18]/D
97,-0.739,2.720,5,vector_buf_b_reg[19][15]/C,operand_x_reg_reg[14][15]/D
98,-0.739,2.719,5,vector_buf_b_reg[35][7]/C,operand_x_reg_reg[28][7]/D
99,-0.738,2.720,7,operand_x_reg_reg[72][9]/C,lane_product_reg_reg[72][9]/D
100,-0.738,2.719,4,vector_buf_a_reg[60][2]/C,operand_x_reg_reg[52][2]/D
101,-0.737,2.718,7,operand_x_reg_reg[45][9]/C,lane_product_reg_reg[45][13]/D
102,-0.737,2.719,7,operand_x_reg_reg[49][1]/C,lane_product_reg_reg[49][15]/D
103,-0.737,2.719,7,operand_x_reg_reg[90][9]/C,lane_product_reg_reg[90][18]/D
104,-0.737,2.719,5,vector_buf_a_reg[51][2]/C,operand_x_reg_reg[71][2]/D
105,-0.737,2.720,6,bf_cycle_reg[3]/C,signal_reg_reg[117][20]/D
106,-0.737,2.718,5,vector_buf_b_reg[45][10]/C,operand_x_reg_reg[50][10]/D
107,-0.737,2.718,4,vector_buf_b_reg[24][12]/C,operand_x_reg_reg[51][12]/D
108,-0.736,2.719,6,bf_cycle_reg[3]/C,signal_reg_reg[109][11]/D
109,-0.736,2.718,5,vector_buf_b_reg[14][11]/C,operand_x_reg_reg[50][11]/D
110,-0.736,2.717,6,bf_cycle_reg[3]/C,signal_reg_reg[87][16]/D
111,-0.736,2.715,5,vector_buf_b_reg[35][7]/C,operand_x_reg_reg[71][7]/D
112,-0.735,2.718,5,bf_cycle_reg[3]/C,signal_reg_reg[9][5]/D
113,-0.735,2.717,4,vector_buf_b_reg[32][2]/C,operand_x_reg_reg[108][2]/D
114,-0.735,2.717,5,vector_buf_b_reg[19][0]/C,operand_x_reg_reg[43][0]/D
115,-0.734,2.716,7,operand_x_reg_reg[59][12]/C,lane_product_reg_reg[59][14]/D
116,-0.734,2.714,5,vector_buf_a_reg[17][1]/C,operand_x_reg_reg[50][1]/D
117,-0.734,2.716,5,vector_buf_b_reg[4][5]/C,operand_x_reg_reg[46][5]/D
118,-0.734,2.717,6,bf_cycle_reg[3]/C,signal_reg_reg[77][8]/D
119,-0.733,2.715,7,operand_x_reg_reg[49][1]/C,lane_product_reg_reg[49][38]/D
120,-0.732,2.712,5,vector_buf_a_reg[25][12]/C,operand_x_reg_reg[17][12]/D
121,-0.732,2.714,3,sched_src_reg_reg[46][5]_rep__5/C,operand_x_reg_reg[83][3]/D
122,-0.732,2.714,4,sched_src_reg_reg[46][2]_rep/C,operand_x_reg_reg[69][1]/D
123,-0.732,2.713,5,vector_buf_a_reg[28][2]/C,operand_x_reg_reg[78][2]/D
124,-0.731,2.714,7,operand_x_reg_reg[81][5]/C,lane_product_reg_reg[81][13]/D
125,-0.731,2.711,1,issue_active_reg_rep__2/C,sched_src_reg_reg[70][0]_rep__15/D
126,-0.731,2.712,1,issue_active_reg_rep/C,sched_src_reg_reg[127][5]_rep__19/D
127,-0.731,2.714,4,sched_src_reg_reg[46][2]_rep/C,operand_x_reg_reg[69][4]/D
128,-0.731,2.711,4,sched_src_reg_reg[67][4]_rep__0/C,operand_x_reg_reg[57][8]/D
129,-0.730,2.711,3,sched_src_reg_reg[29][5]_rep__3/C,operand_x_reg_reg[83][6]/D
130,-0.730,2.710,5,vector_buf_a_reg[16][0]/C,operand_x_reg_reg[44][0]/D
131,-0.730,2.711,5,vector_buf_a_reg[61][11]/C,operand_x_reg_reg[17][11]/D
132,-0.730,2.712,7,operand_x_reg_reg[89][15]/C,lane_product_reg_reg[89][22]/D
133,-0.730,2.710,1,sched_valid_reg_reg[50]/C,operand_x_reg_reg[6][9]/D
134,-0.730,2.711,4,vector_buf_b_reg[1][0]/C,operand_x_reg_reg[76][0]/D
135,-0.730,2.710,4,vector_buf_a_reg[40][6]/C,operand_x_reg_reg[52][6]/D
136,-0.729,2.712,6,bf_cycle_reg[3]/C,signal_reg_reg[95][11]/D
137,-0.729,2.711,7,operand_x_reg_reg[49][1]/C,lane_product_reg_reg[49][1]/D
138,-0.729,2.710,7,operand_x_reg_reg[11][9]/C,lane_product_reg_reg[11][15]/D
139,-0.729,2.711,1,issue_cycle_reg[3]_rep__4/C,sched_coeff_reg_reg[91][7]/D
140,-0.729,2.712,7,operand_coeff_reg_reg[117][4]/C,lane_product_reg_reg[92][18]/D
141,-0.729,2.709,5,vector_buf_a_reg[12][7]/C,operand_x_reg_reg[78][7]/D
142,-0.729,2.709,5,vector_buf_b_reg[3][8]/C,operand_x_reg_reg[117][8]/D
143,-0.729,2.708,1,issue_active_reg_rep__2/C,sched_src_reg_reg[28][4]_rep__0/D
