index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,path_group,path_type,startpoint,endpoint,start_cell,start_loc,start_bel,start_ref,start_fanout,end_cell,end_loc,end_bel,end_ref
70,LFNST_control,-0.004000,1.986000,0.613000,1.373000,"5","","","lfnst_grid_reg[20][9]/C","u_unified_p4_kernel/ingress_data_q_reg[41]/D","lfnst_grid_reg[20][9]","SLICE_X69Y18","SLICEL.BFF","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[41]","SLICE_X68Y59","SLICEL.CFF","FDRE"
71,P4_fifo_control,-0.004000,1.984000,0.507000,1.477000,"6","","","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__5/C","vwrite_cmd_data_q_reg[2][6]/D","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__5","SLICE_X66Y147","SLICEM.AFF","FDCE","","vwrite_cmd_data_q_reg[2][6]","SLICE_X68Y110","SLICEL.BFF","FDCE"
72,P4_slot_state,-0.004000,1.984000,0.680000,1.304000,"6","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","u_unified_p4_kernel/reserved_groups_q_reg[5]/D","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","u_unified_p4_kernel/reserved_groups_q_reg[5]","SLICE_X72Y67","SLICEL.CFF","FDCE"
73,P4_fifo_control,-0.004000,1.983000,0.553000,1.430000,"7","","","u_unified_p4_kernel/fifo_data_q_reg[43][57]/C","vwrite_cmd_data_q_reg[1][9]/D","u_unified_p4_kernel/fifo_data_q_reg[43][57]","SLICE_X71Y147","SLICEM.DFF","FDCE","","vwrite_cmd_data_q_reg[1][9]","SLICE_X69Y110","SLICEL.BFF","FDCE"
74,LFNST_control,-0.004000,1.901000,0.600000,1.301000,"5","","","lfnst_ntrs48_q_reg/C","lfnst_grid_reg[0][5]/CE","lfnst_ntrs48_q_reg","SLICE_X73Y20","SLICEL.AFF","FDCE","","lfnst_grid_reg[0][5]","SLICE_X71Y20","SLICEM.CFF2","FDCE"
75,P4_fifo_control,-0.004000,1.984000,0.666000,1.318000,"6","","","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]/C","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[5]_rep__9/D","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]","SLICE_X87Y73","SLICEL.EFF","FDCE","","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[5]_rep__9","SLICE_X97Y88","SLICEL.HFF","FDCE"
76,wrapper_kernel_vector,-0.003000,1.985000,0.360000,1.625000,"4","","","kernel_vector_q_reg[2]/C","u_unified_p4_kernel/ingress_data_q_reg[1]/D","kernel_vector_q_reg[2]","SLICE_X70Y31","SLICEL.BFF2","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[1]","SLICE_X69Y57","SLICEL.BFF","FDRE"
77,P4_other_control,-0.003000,1.727000,0.250000,1.477000,"2","","","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[0]_rep__12/C","u_unified_p4_kernel/product_q_reg[3][38]/DSP_A_B_DATA_INST/A[3]","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[0]_rep__12","SLICE_X99Y91","SLICEL.AFF2","FDCE","","u_unified_p4_kernel/product_q_reg[3][38]/DSP_A_B_DATA_INST","DSP48E2_X16Y54","DSP48E2.DSP_A_B_DATA","DSP_A_B_DATA"
78,LFNST_control,-0.003000,1.985000,0.442000,1.543000,"5","","","lfnst_grid_reg[49][0]/C","u_unified_p4_kernel/ingress_data_q_reg[48]/D","lfnst_grid_reg[49][0]","SLICE_X63Y23","SLICEL.HFF","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[48]","SLICE_X67Y59","SLICEM.BFF","FDRE"
79,P4_slot_state,-0.002000,1.898000,0.479000,1.419000,"6","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","kernel_h_rd_data_tail_q_reg[19]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","kernel_h_rd_data_tail_q_reg[19]","SLICE_X70Y74","SLICEL.CFF","FDCE"
80,P4_slot_state,-0.002000,1.898000,0.479000,1.419000,"6","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","kernel_h_rd_data_tail_q_reg[36]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","kernel_h_rd_data_tail_q_reg[36]","SLICE_X69Y74","SLICEL.CFF","FDCE"
81,P4_fifo_control,-0.002000,1.982000,0.456000,1.526000,"5","","","u_unified_p4_kernel/fifo_rd_ptr_q_reg[2]_rep/C","vwrite_cmd_data_q_reg[2][4]/D","u_unified_p4_kernel/fifo_rd_ptr_q_reg[2]_rep","SLICE_X64Y147","SLICEL.EFF","FDCE","","vwrite_cmd_data_q_reg[2][4]","SLICE_X69Y109","SLICEL.EFF","FDCE"
82,cache_read_command,-0.002000,1.983000,0.536000,1.447000,"6","","","rd_cmd_addr_q_reg[1][2][0]/C","lfnst_mem_resp_data_q_reg[7]/D","rd_cmd_addr_q_reg[1][2][0]","SLICE_X77Y67","SLICEL.AFF2","FDCE","","lfnst_mem_resp_data_q_reg[7]","SLICE_X76Y40","SLICEL.BFF","FDCE"
83,H_read_or_kernel_control,-0.001000,1.982000,0.644000,1.338000,"5","","","kernel_stage_q_reg/C","u_unified_p4_kernel/ingress_data_q_reg[34]/D","kernel_stage_q_reg","SLICE_X76Y55","SLICEL.AFF2","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[34]","SLICE_X70Y51","SLICEL.DFF","FDRE"

