index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,path_group,path_type,startpoint,endpoint,start_cell,start_loc,start_bel,start_ref,start_fanout,end_cell,end_loc,end_bel,end_ref
40,cache_read_command,-0.020000,2.001000,0.477000,1.524000,"6","","","rd_cmd_addr_q_reg[1][0][3]_replica_3/C","lfnst_mem_resp_data_q_reg[4]/D","rd_cmd_addr_q_reg[1][0][3]_replica_3","SLICE_X73Y55","SLICEL.AFF2","FDCE","","lfnst_mem_resp_data_q_reg[4]","SLICE_X83Y48","SLICEL.FFF","FDCE"
41,cache_read_command,-0.019000,2.002000,0.456000,1.546000,"5","","","rd_cmd_addr_q_reg[1][2][0]/C","kernel_rd_raw_data_q_reg[41]/D","rd_cmd_addr_q_reg[1][2][0]","SLICE_X77Y67","SLICEL.AFF2","FDCE","","kernel_rd_raw_data_q_reg[41]","SLICE_X75Y54","SLICEM.CFF","FDCE"
42,cache_read_command,-0.019000,2.000000,0.555000,1.445000,"6","","","rd_cmd_addr_q_reg[1][3][0]/C","lfnst_mem_resp_data_q_reg[0]/D","rd_cmd_addr_q_reg[1][3][0]","SLICE_X78Y51","SLICEL.BFF","FDCE","","lfnst_mem_resp_data_q_reg[0]","SLICE_X76Y45","SLICEL.BFF","FDCE"
43,wrapper_kernel_vector,-0.018000,1.998000,0.494000,1.504000,"5","","","kernel_vector_q_reg[1]_rep__1/C","u_unified_p4_kernel/ingress_data_q_reg[7]/D","kernel_vector_q_reg[1]_rep__1","SLICE_X69Y31","SLICEL.EFF","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[7]","SLICE_X76Y62","SLICEL.CFF","FDRE"
44,H_read_or_kernel_control,-0.016000,1.996000,0.536000,1.460000,"5","","","kernel_h_rd_addr_q_reg[1][1]/C","kernel_h_rd_data_q_reg[21]/D","kernel_h_rd_addr_q_reg[1][1]","SLICE_X79Y91","SLICEM.DFF","FDCE","","kernel_h_rd_data_q_reg[21]","SLICE_X70Y68","SLICEL.DFF","FDCE"
45,P4_slot_state,-0.016000,1.912000,0.479000,1.433000,"6","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","kernel_h_rd_data_tail_q_reg[27]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","kernel_h_rd_data_tail_q_reg[27]","SLICE_X76Y78","SLICEL.CFF","FDCE"
46,cache_read_command,-0.016000,1.998000,0.418000,1.580000,"5","","","rd_cmd_addr_q_reg[1][0][1]_replica_2/C","kernel_rd_raw_data_q_reg[51]/D","rd_cmd_addr_q_reg[1][0][1]_replica_2","SLICE_X78Y55","SLICEL.BFF","FDCE","","kernel_rd_raw_data_q_reg[51]","SLICE_X77Y49","SLICEL.HFF","FDCE"
47,P4_fifo_control,-0.016000,1.997000,0.425000,1.572000,"7","","","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__2/C","vwrite_cmd_data_q_reg[1][13]/D","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__2","SLICE_X68Y137","SLICEL.AFF","FDCE","","vwrite_cmd_data_q_reg[1][13]","SLICE_X70Y120","SLICEL.CFF","FDCE"
48,wrapper_kernel_vector,-0.016000,1.912000,0.532000,1.380000,"5","","","kernel_vector_q_reg[2]/C","kernel_rd_req_vector_q_reg[6]/CE","kernel_vector_q_reg[2]","SLICE_X70Y31","SLICEL.BFF2","FDCE","","kernel_rd_req_vector_q_reg[6]","SLICE_X72Y44","SLICEL.HFF","FDCE"
49,wrapper_kernel_vector,-0.016000,1.996000,0.455000,1.541000,"5","","","kernel_vector_q_reg[0]_rep__1/C","u_unified_p4_kernel/ingress_data_q_reg[26]/D","kernel_vector_q_reg[0]_rep__1","SLICE_X69Y33","SLICEL.FFF","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[26]","SLICE_X73Y58","SLICEL.AFF","FDRE"
50,P4_fifo_control,-0.016000,1.996000,0.461000,1.535000,"5","","","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]/C","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[1]_rep__12/D","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]","SLICE_X87Y73","SLICEL.EFF","FDCE","","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[1]_rep__12","SLICE_X99Y89","SLICEL.AFF","FDCE"
51,P4_fifo_control,-0.015000,1.996000,0.437000,1.559000,"6","","","u_unified_p4_kernel/fifo_rd_ptr_q_reg[2]_rep/C","vwrite_cmd_data_q_reg[0][4]/D","u_unified_p4_kernel/fifo_rd_ptr_q_reg[2]_rep","SLICE_X64Y147","SLICEL.EFF","FDCE","","vwrite_cmd_data_q_reg[0][4]","SLICE_X70Y110","SLICEL.EFF","FDCE"
52,H_read_or_kernel_control,-0.014000,1.994000,0.619000,1.375000,"5","","","kernel_feed_group_q_reg[0]/C","u_unified_p4_kernel/ingress_data_q_reg[27]/D","kernel_feed_group_q_reg[0]","SLICE_X79Y58","SLICEM.AFF","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[27]","SLICE_X73Y41","SLICEL.FFF","FDRE"
53,P4_fifo_control,-0.012000,1.991000,0.591000,1.400000,"7","","","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__5/C","vwrite_cmd_data_q_reg[3][6]/D","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__5","SLICE_X66Y147","SLICEM.AFF","FDCE","","vwrite_cmd_data_q_reg[3][6]","SLICE_X72Y121","SLICEL.AFF","FDCE"
