event_id,level,phase,slot,destination,operation,even,odd,key
47,32,8,3,46,add,"{""kind"": ""signal"", ""id"": 45}","{""kind"": ""dot"", ""id"": 27}",66051
48,32,8,4,49,add,"{""kind"": ""signal"", ""id"": 48}","{""kind"": ""dot"", ""id"": 28}",66052
49,32,8,5,52,add,"{""kind"": ""signal"", ""id"": 51}","{""kind"": ""dot"", ""id"": 29}",66053
50,32,8,6,55,add,"{""kind"": ""signal"", ""id"": 54}","{""kind"": ""dot"", ""id"": 30}",66054
51,32,8,7,58,add,"{""kind"": ""signal"", ""id"": 57}","{""kind"": ""dot"", ""id"": 31}",66055
52,32,8,8,60,sub,"{""kind"": ""signal"", ""id"": 57}","{""kind"": ""dot"", ""id"": 31}",66056
53,32,8,9,62,sub,"{""kind"": ""signal"", ""id"": 54}","{""kind"": ""dot"", ""id"": 30}",66057
54,32,8,10,64,sub,"{""kind"": ""signal"", ""id"": 51}","{""kind"": ""dot"", ""id"": 29}",66058
55,32,8,11,66,sub,"{""kind"": ""signal"", ""id"": 48}","{""kind"": ""dot"", ""id"": 28}",66059
56,32,8,12,68,sub,"{""kind"": ""signal"", ""id"": 45}","{""kind"": ""dot"", ""id"": 27}",66060
57,32,8,13,70,sub,"{""kind"": ""signal"", ""id"": 42}","{""kind"": ""dot"", ""id"": 26}",66061
58,32,8,14,72,sub,"{""kind"": ""signal"", ""id"": 39}","{""kind"": ""dot"", ""id"": 25}",66062
59,32,8,15,74,sub,"{""kind"": ""signal"", ""id"": 36}","{""kind"": ""dot"", ""id"": 24}",66063
60,64,10,0,4,add,"{""kind"": ""signal"", ""id"": 3}","{""kind"": ""dot"", ""id"": 32}",131712
61,64,10,1,9,add,"{""kind"": ""signal"", ""id"": 8}","{""kind"": ""dot"", ""id"": 33}",131713
62,64,10,2,14,add,"{""kind"": ""signal"", ""id"": 13}","{""kind"": ""dot"", ""id"": 34}",131714
63,64,10,3,19,add,"{""kind"": ""signal"", ""id"": 18}","{""kind"": ""dot"", ""id"": 35}",131715
64,64,10,4,120,sub,"{""kind"": ""signal"", ""id"": 18}","{""kind"": ""dot"", ""id"": 35}",131716
65,64,10,5,121,sub,"{""kind"": ""signal"", ""id"": 13}","{""kind"": ""dot"", ""id"": 34}",131717
66,64,10,6,122,sub,"{""kind"": ""signal"", ""id"": 8}","{""kind"": ""dot"", ""id"": 33}",131718
67,64,10,7,123,sub,"{""kind"": ""signal"", ""id"": 3}","{""kind"": ""dot"", ""id"": 32}",131719
68,64,11,0,23,add,"{""kind"": ""signal"", ""id"": 22}","{""kind"": ""dot"", ""id"": 36}",131776
69,64,11,1,27,add,"{""kind"": ""signal"", ""id"": 26}","{""kind"": ""dot"", ""id"": 37}",131777
70,64,11,2,31,add,"{""kind"": ""signal"", ""id"": 30}","{""kind"": ""dot"", ""id"": 38}",131778
71,64,11,3,35,add,"{""kind"": ""signal"", ""id"": 34}","{""kind"": ""dot"", ""id"": 39}",131779
72,64,11,4,116,sub,"{""kind"": ""signal"", ""id"": 34}","{""kind"": ""dot"", ""id"": 39}",131780
